PairID,GPU1_Case,GPU1_V,GPU1_Time,GPU2_Case,GPU2_V,GPU2_Time,WorkloadRatio,ActualTimeRatio,Efficiency
Pair_p14k1,p11k1,11000,1277.889,p14k1,13851,2340.376,1.9965,1.8314,0.5460
Pair_p15k1,p12k1,11817,2013.894,p15k1,15000,2709.003,2.0453,1.3452,0.7434
Pair_p19k1,p15k1,15000,2662.655,p19k1,18947,3426.771,2.0153,1.2870,0.7770
Pair_p30k1,p24k1,24000,6890.073,p30k1,30000,8402.737,1.9531,1.2195,0.8200
Pair_p43k1,p34k1,34000,18768.187,p43k1,42793,36951.871,1.9938,1.9689,0.5079
Pair_p44k1,p35k1,34921,22537.706,p44k1,43769,38203.217,1.9690,1.6951,0.5899
Pair_p45k1,p36k1,35981,24008.114,p45k1,44939,33611.549,1.9483,1.4000,0.7143
