Version,UnrollFactor,Testcase,TotalTime_ms,ComputeTime_ms
hw3-2_unroll_64,64,p16k1,5904.876,3698.065
hw3-2_unroll_64,64,p17k1,7475.292,4528.853
hw3-2_unroll_64,64,p18k1,8111.775,4995.973
hw3-2_unroll_64,64,p19k1,9517.053,6219.285
hw3-2_unroll_64,64,p20k1,10102.078,7365.206
hw3-2_unroll_64,64,p21k1,11531.537,8441.183
hw3-2_unroll_64,64,p22k1,13706.249,9581.512
hw3-2_unroll_64,64,p23k1,14765.290,11020.286
hw3-2_unroll_64,64,p24k1,17879.909,12295.157
hw3-2_unroll_64,64,p25k1,18984.664,14394.055
hw3-2_unroll_64,64,p26k1,20455.454,15714.447
hw3-2_unroll_64,64,p27k1,25846.742,17943.780
hw3-2_unroll_64,64,p28k1,26608.657,20753.982
hw3-2_unroll_64,64,p29k1,28430.391,21324.059
hw3-2_unroll_64,64,p30k1,31631.911,25297.309
hw3-2_unroll_64,64,p31k1,35716.823,26676.987
hw3-2_unroll_64,64,p32k1,38523.178,29941.499
hw3-2_unroll_64,64,p33k1,41261.663,32831.964
hw3-2_unroll_64,64,p34k1,48161.033,37382.575
hw3-2_unroll_64,64,p35k1,48611.620,37568.077
hw3-2_unroll_64,64,p36k1,55611.584,43187.252
hw3-2_unroll_64,64,p37k1,61299.537,46995.009
hw3-2_unroll_64,64,p38k1,64893.243,54156.638
hw3-2_unroll_64,64,p39k1,69665.146,60046.213
hw3-2_unroll_64,64,p40k1,67697.331,57272.451
hw3-2_unroll_8,8,p11k1,2511.843,1230.506
hw3-2_unroll_8,8,p12k1,3079.244,1512.772
hw3-2_unroll_8,8,p13k1,3432.364,2055.377
hw3-2_unroll_8,8,p14k1,4133.343,2400.503
hw3-2_unroll_8,8,p15k1,5233.725,3092.833
hw3-2_unroll_8,8,p16k1,5957.258,3687.698
hw3-2_unroll_8,8,p17k1,6956.860,4500.753
hw3-2_unroll_8,8,p18k1,8157.198,5084.260
hw3-2_unroll_8,8,p19k1,8892.559,6375.886
hw3-2_unroll_8,8,p20k1,10336.893,7562.669
hw3-2_unroll_8,8,p21k1,12087.629,8245.057
hw3-2_unroll_8,8,p22k1,12894.533,9496.587
hw3-2_unroll_8,8,p23k1,15284.206,11192.663
hw3-2_unroll_8,8,p24k1,17707.379,12158.708
hw3-2_unroll_8,8,p25k1,20440.287,14553.804
hw3-2_unroll_8,8,p26k1,19926.689,15639.242
hw3-2_unroll_8,8,p27k1,24766.248,17780.534
hw3-2_unroll_8,8,p28k1,26362.770,20647.005
hw3-2_unroll_8,8,p29k1,29151.328,21652.221
hw3-2_unroll_8,8,p30k1,31046.371,24691.755
hw3-2_unroll_8,8,p31k1,35781.329,27220.150
hw3-2_unroll_8,8,p32k1,40230.348,31155.718
hw3-2_unroll_8,8,p33k1,39992.922,32022.745
hw3-2_unroll_8,8,p34k1,45218.879,35038.407
hw3-2_unroll_8,8,p35k1,48265.301,37324.933
hw3-2_unroll_8,8,p36k1,53605.048,41551.860
hw3-2_unroll_8,8,p37k1,59886.768,45028.734
hw3-2_unroll_8,8,p38k1,58033.518,48584.563
hw3-2_unroll_8,8,p39k1,63910.340,53020.441
hw3-2_unroll_8,8,p40k1,68567.209,57620.130
hw3-2_unroll_default,default,p11k1,2589.592,1228.665
hw3-2_unroll_default,default,p12k1,3245.685,1527.174
hw3-2_unroll_default,default,p13k1,3502.603,2042.726
hw3-2_unroll_default,default,p14k1,4439.875,2441.008
hw3-2_unroll_default,default,p15k1,5298.571,3090.230
hw3-2_unroll_default,default,p16k1,6018.045,3723.783
hw3-2_unroll_default,default,p17k1,7095.524,4489.353
hw3-2_unroll_default,default,p18k1,8266.892,5072.460
hw3-2_unroll_default,default,p19k1,8706.496,6225.687
hw3-2_unroll_default,default,p20k1,10257.783,7435.837
hw3-2_unroll_default,default,p21k1,11634.394,8544.740
hw3-2_unroll_default,default,p22k1,13322.311,9963.290
hw3-2_unroll_default,default,p23k1,14543.702,10905.654
hw3-2_unroll_default,default,p24k1,18830.630,12456.764
hw3-2_unroll_default,default,p25k1,19229.891,14542.199
hw3-2_unroll_default,default,p26k1,20356.980,15943.302
hw3-2_unroll_default,default,p27k1,24778.272,17414.452
hw3-2_unroll_default,default,p28k1,26065.446,20413.057
hw3-2_unroll_default,default,p29k1,30425.824,22769.084
hw3-2_unroll_default,default,p30k1,30876.921,24216.285
hw3-2_unroll_default,default,p31k1,36917.613,28227.781
hw3-2_unroll_default,default,p32k1,37732.723,29348.170
hw3-2_unroll_default,default,p33k1,42169.003,34198.656
hw3-2_unroll_default,default,p34k1,46900.961,36148.741
hw3-2_unroll_default,default,p35k1,50087.734,39211.245
hw3-2_unroll_default,default,p36k1,57561.860,44007.017
hw3-2_unroll_default,default,p37k1,61192.553,47512.318
hw3-2_unroll_default,default,p38k1,64473.690,54537.036
hw3-2_unroll_default,default,p39k1,63695.337,52658.669
hw3-2_unroll_default,default,p40k1,72777.377,61539.225
hw3-2_unroll_none,none,p11k1,2580.560,1289.535
hw3-2_unroll_none,none,p12k1,3177.048,1502.913
hw3-2_unroll_none,none,p13k1,3478.708,2123.499
hw3-2_unroll_none,none,p14k1,4408.784,2561.553
hw3-2_unroll_none,none,p15k1,5344.745,3034.312
hw3-2_unroll_none,none,p16k1,6705.403,3772.273
hw3-2_unroll_none,none,p17k1,7104.206,4666.364
hw3-2_unroll_none,none,p18k1,7987.928,4977.879
hw3-2_unroll_none,none,p19k1,9132.000,6332.225
hw3-2_unroll_none,none,p20k1,10153.310,7277.265
hw3-2_unroll_none,none,p21k1,11563.208,8492.762
hw3-2_unroll_none,none,p22k1,13103.417,9760.567
hw3-2_unroll_none,none,p23k1,15016.700,10839.659
hw3-2_unroll_none,none,p24k1,18010.824,12231.455
hw3-2_unroll_none,none,p25k1,19052.698,14325.113
hw3-2_unroll_none,none,p26k1,20185.149,15623.905
hw3-2_unroll_none,none,p27k1,24180.644,17252.552
hw3-2_unroll_none,none,p28k1,25387.598,19670.676
hw3-2_unroll_none,none,p29k1,28347.391,20815.695
hw3-2_unroll_none,none,p30k1,30435.998,24176.701
hw3-2_unroll_none,none,p31k1,35443.146,27224.150
hw3-2_unroll_none,none,p32k1,37889.033,29491.183
hw3-2_unroll_none,none,p33k1,40289.751,32098.708
hw3-2_unroll_none,none,p34k1,44407.579,34761.314
hw3-2_unroll_none,none,p35k1,49168.098,38228.868
hw3-2_unroll_none,none,p36k1,57545.119,44248.829
hw3-2_unroll_none,none,p37k1,58329.191,44807.475
hw3-2_unroll_none,none,p38k1,59277.241,48984.996
hw3-2_unroll_none,none,p39k1,63467.236,53315.745
hw3-2_unroll_none,none,p40k1,68146.717,57412.063
