Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,FETCH_SIZE,WRITE_SIZE,SQ_WAVES,SQ_INSTS_VALU,GRBM_GUI_ACTIVE
410,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,613,927090,927090,40192,256,8704,0,28,28,16,64,0x0,0x146ffd060e00,665.6875000000,0.0000000000,628,159120,25849
411,"kernel_phase3(int*, int, int) [clone .kd]",2,0,1129,927090,927090,6310144,256,8704,0,20,20,16,64,0x0,0x146ffd060e40,98678.2500000000,93709.2500000000,98596,28716480,326848
412,"kernel_phase1(int*, int, int) [clone .kd]",2,0,1134,927090,927090,256,256,4608,0,16,16,16,64,0x0,0x146ffd060d80,8.5625000000,0.0000000000,4,1112,36113
413,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,619,927090,927090,40192,256,8704,0,32,32,16,64,0x0,0x146ffd060dc0,651.2500000000,0.0000000000,628,177216,26068
414,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,619,927090,927090,40192,256,8704,0,28,28,16,64,0x0,0x146ffd060e00,670.5625000000,0.0000000000,628,159120,26388
415,"kernel_phase3(int*, int, int) [clone .kd]",2,0,1140,927090,927090,6310144,256,8704,0,20,20,16,64,0x0,0x146ffd060e40,98682.6250000000,93713.8750000000,98596,28716480,324684
416,"kernel_phase1(int*, int, int) [clone .kd]",2,0,1145,927090,927090,256,256,4608,0,16,16,16,64,0x0,0x146ffd060d80,8.5625000000,0.0000000000,4,1112,36020
417,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,625,927090,927090,40192,256,8704,0,32,32,16,64,0x0,0x146ffd060dc0,653.6250000000,0.0000000000,628,177216,26172
418,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,625,927090,927090,40192,256,8704,0,28,28,16,64,0x0,0x146ffd060e00,671.7500000000,0.0000000000,628,159120,26047
419,"kernel_phase3(int*, int, int) [clone .kd]",2,0,1151,927090,927090,6310144,256,8704,0,20,20,16,64,0x0,0x146ffd060e40,98666.6250000000,93709.2500000000,98596,28716480,325092
420,"kernel_phase1(int*, int, int) [clone .kd]",2,0,1156,927090,927090,256,256,4608,0,16,16,16,64,0x0,0x146ffd060d80,8.5625000000,0.0000000000,4,1112,35516
421,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,631,927090,927090,40192,256,8704,0,32,32,16,64,0x0,0x146ffd060dc0,650.7500000000,0.0000000000,628,177216,26377
422,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,631,927090,927090,40192,256,8704,0,28,28,16,64,0x0,0x146ffd060e00,668.9375000000,0.0000000000,628,159120,24865
423,"kernel_phase3(int*, int, int) [clone .kd]",2,0,1162,927090,927090,6310144,256,8704,0,20,20,16,64,0x0,0x146ffd060e40,98680.8125000000,93714.9375000000,98596,28716480,330089
424,"kernel_phase1(int*, int, int) [clone .kd]",2,0,1167,927090,927090,256,256,4608,0,16,16,16,64,0x0,0x146ffd060d80,8.5625000000,0.0000000000,4,1112,37553
425,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,637,927090,927090,40192,256,8704,0,32,32,16,64,0x0,0x146ffd060dc0,649.6875000000,0.0000000000,628,177216,25612
426,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,637,927090,927090,40192,256,8704,0,28,28,16,64,0x0,0x146ffd060e00,671.2500000000,0.0000000000,628,159120,24788
427,"kernel_phase3(int*, int, int) [clone .kd]",2,0,1173,927090,927090,6310144,256,8704,0,20,20,16,64,0x0,0x146ffd060e40,98662.4375000000,93723.1875000000,98596,28716480,326436
428,"kernel_phase1(int*, int, int) [clone .kd]",2,0,1178,927090,927090,256,256,4608,0,16,16,16,64,0x0,0x146ffd060d80,8.5625000000,0.0000000000,4,1112,36100
429,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,643,927090,927090,40192,256,8704,0,32,32,16,64,0x0,0x146ffd060dc0,653.3750000000,0.0000000000,628,177216,26321
