Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,FETCH_SIZE,WRITE_SIZE,SQ_WAVES,SQ_INSTS_VALU,GRBM_GUI_ACTIVE
0,"kernel_phase1(int*, int, int) [clone .kd]",2,0,1,926980,926980,256,256,4096,0,20,20,16,64,0x0,0x14d162814d80,8.2500000000,0.0000000000,4,1224,30459
1,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,1,926980,926980,40192,256,8192,0,36,36,16,64,0x0,0x14d162814dc0,653.0625000000,0.0000000000,628,139776,24988
2,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,1,926980,926980,40192,256,8192,0,32,32,16,64,0x0,0x14d162814e00,670.3125000000,0.0000000000,628,141024,22292
3,"kernel_phase3(int*, int, int) [clone .kd]",2,0,7,926980,926980,6310144,256,8192,0,36,36,16,64,0x0,0x14d162814e40,98679.8125000000,93665.4375000000,98596,22778496,376129
4,"kernel_phase1(int*, int, int) [clone .kd]",2,0,12,926980,926980,256,256,4096,0,20,20,16,64,0x0,0x14d162814d80,8.3750000000,0.0000000000,4,1224,36089
5,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,7,926980,926980,40192,256,8192,0,36,36,16,64,0x0,0x14d162814dc0,653.6875000000,0.0000000000,628,139776,25105
6,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,7,926980,926980,40192,256,8192,0,32,32,16,64,0x0,0x14d162814e00,672.1875000000,0.0000000000,628,141024,22105
7,"kernel_phase3(int*, int, int) [clone .kd]",2,0,18,926980,926980,6310144,256,8192,0,36,36,16,64,0x0,0x14d162814e40,98673.0000000000,93685.9375000000,98596,22778496,375916
8,"kernel_phase1(int*, int, int) [clone .kd]",2,0,23,926980,926980,256,256,4096,0,20,20,16,64,0x0,0x14d162814d80,8.3750000000,0.0000000000,4,1224,35520
9,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,13,926980,926980,40192,256,8192,0,36,36,16,64,0x0,0x14d162814dc0,652.1250000000,0.0000000000,628,139776,24729
10,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,13,926980,926980,40192,256,8192,0,32,32,16,64,0x0,0x14d162814e00,666.5000000000,0.0000000000,628,141024,23689
11,"kernel_phase3(int*, int, int) [clone .kd]",2,0,29,926980,926980,6310144,256,8192,0,36,36,16,64,0x0,0x14d162814e40,98667.2500000000,93699.3750000000,98596,22778496,375260
12,"kernel_phase1(int*, int, int) [clone .kd]",2,0,34,926980,926980,256,256,4096,0,20,20,16,64,0x0,0x14d162814d80,8.3750000000,0.0000000000,4,1224,35500
13,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,19,926980,926980,40192,256,8192,0,36,36,16,64,0x0,0x14d162814dc0,653.8750000000,0.0000000000,628,139776,26548
14,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,19,926980,926980,40192,256,8192,0,32,32,16,64,0x0,0x14d162814e00,669.8750000000,0.0000000000,628,141024,22748
15,"kernel_phase3(int*, int, int) [clone .kd]",2,0,40,926980,926980,6310144,256,8192,0,36,36,16,64,0x0,0x14d162814e40,98679.3125000000,93686.7500000000,98596,22778496,376525
16,"kernel_phase1(int*, int, int) [clone .kd]",2,0,45,926980,926980,256,256,4096,0,20,20,16,64,0x0,0x14d162814d80,8.3750000000,0.0000000000,4,1224,35348
17,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,25,926980,926980,40192,256,8192,0,36,36,16,64,0x0,0x14d162814dc0,653.9375000000,0.0000000000,628,139776,24749
18,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,25,926980,926980,40192,256,8192,0,32,32,16,64,0x0,0x14d162814e00,670.4375000000,0.0000000000,628,141024,22532
19,"kernel_phase3(int*, int, int) [clone .kd]",2,0,51,926980,926980,6310144,256,8192,0,36,36,16,64,0x0,0x14d162814e40,98684.7500000000,93709.8750000000,98596,22778496,377552
20,"kernel_phase1(int*, int, int) [clone .kd]",2,0,56,926980,926980,256,256,4096,0,20,20,16,64,0x0,0x14d162814d80,8.3750000000,0.0000000000,4,1224,35163
21,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,31,926980,926980,40192,256,8192,0,36,36,16,64,0x0,0x14d162814dc0,653.5000000000,0.0000000000,628,139776,24744
22,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,31,926980,926980,40192,256,8192,0,32,32,16,64,0x0,0x14d162814e00,668.3750000000,0.0000000000,628,141024,22627
23,"kernel_phase3(int*, int, int) [clone .kd]",2,0,62,926980,926980,6310144,256,8192,0,36,36,16,64,0x0,0x14d162814e40,98682.1875000000,93697.9375000000,98596,22778496,377253
24,"kernel_phase1(int*, int, int) [clone .kd]",2,0,67,926980,926980,256,256,4096,0,20,20,16,64,0x0,0x14d162814d80,8.3750000000,0.0000000000,4,1224,34716
25,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,37,926980,926980,40192,256,8192,0,36,36,16,64,0x0,0x14d162814dc0,656.6875000000,0.0000000000,628,139776,24716
26,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,37,926980,926980,40192,256,8192,0,32,32,16,64,0x0,0x14d162814e00,668.3125000000,0.0000000000,628,141024,23108
27,"kernel_phase3(int*, int, int) [clone .kd]",2,0,73,926980,926980,6310144,256,8192,0,36,36,16,64,0x0,0x14d162814e40,98680.1250000000,93680.2500000000,98596,22778496,378072
28,"kernel_phase1(int*, int, int) [clone .kd]",2,0,78,926980,926980,256,256,4096,0,20,20,16,64,0x0,0x14d162814d80,8.3750000000,0.0000000000,4,1224,34088
29,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,43,926980,926980,40192,256,8192,0,36,36,16,64,0x0,0x14d162814dc0,653.6250000000,0.0000000000,628,139776,24960
30,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,43,926980,926980,40192,256,8192,0,32,32,16,64,0x0,0x14d162814e00,673.7500000000,0.0000000000,628,141024,22568
31,"kernel_phase3(int*, int, int) [clone .kd]",2,0,84,926980,926980,6310144,256,8192,0,36,36,16,64,0x0,0x14d162814e40,98674.0625000000,93700.0000000000,98596,22778496,377092
32,"kernel_phase1(int*, int, int) [clone .kd]",2,0,89,926980,926980,256,256,4096,0,20,20,16,64,0x0,0x14d162814d80,8.3750000000,0.0000000000,4,1224,34676
33,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,49,926980,926980,40192,256,8192,0,36,36,16,64,0x0,0x14d162814dc0,652.8750000000,0.0000000000,628,139776,24772
34,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,49,926980,926980,40192,256,8192,0,32,32,16,64,0x0,0x14d162814e00,668.5625000000,0.0000000000,628,141024,23020
35,"kernel_phase3(int*, int, int) [clone .kd]",2,0,95,926980,926980,6310144,256,8192,0,36,36,16,64,0x0,0x14d162814e40,98677.2500000000,93693.5625000000,98596,22778496,375473
36,"kernel_phase1(int*, int, int) [clone .kd]",2,0,100,926980,926980,256,256,4096,0,20,20,16,64,0x0,0x14d162814d80,8.3750000000,0.0000000000,4,1224,34481
37,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,55,926980,926980,40192,256,8192,0,36,36,16,64,0x0,0x14d162814dc0,657.7500000000,0.0000000000,628,139776,24873
38,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,55,926980,926980,40192,256,8192,0,32,32,16,64,0x0,0x14d162814e00,670.8750000000,0.0000000000,628,141024,23569
39,"kernel_phase3(int*, int, int) [clone .kd]",2,0,106,926980,926980,6310144,256,8192,0,36,36,16,64,0x0,0x14d162814e40,98672.8125000000,93700.5000000000,98596,22778496,375552
40,"kernel_phase1(int*, int, int) [clone .kd]",2,0,111,926980,926980,256,256,4096,0,20,20,16,64,0x0,0x14d162814d80,8.3750000000,0.0000000000,4,1224,34440
41,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,61,926980,926980,40192,256,8192,0,36,36,16,64,0x0,0x14d162814dc0,651.8125000000,0.0000000000,628,139776,25472
42,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,61,926980,926980,40192,256,8192,0,32,32,16,64,0x0,0x14d162814e00,666.8750000000,0.0000000000,628,141024,21928
43,"kernel_phase3(int*, int, int) [clone .kd]",2,0,117,926980,926980,6310144,256,8192,0,36,36,16,64,0x0,0x14d162814e40,98677.0000000000,93663.6875000000,98596,22778496,378413
44,"kernel_phase1(int*, int, int) [clone .kd]",2,0,122,926980,926980,256,256,4096,0,20,20,16,64,0x0,0x14d162814d80,8.3750000000,0.0000000000,4,1224,36069
45,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,67,926980,926980,40192,256,8192,0,36,36,16,64,0x0,0x14d162814dc0,649.1250000000,0.0000000000,628,139776,25772
46,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,67,926980,926980,40192,256,8192,0,32,32,16,64,0x0,0x14d162814e00,669.8125000000,0.0000000000,628,141024,23012
47,"kernel_phase3(int*, int, int) [clone .kd]",2,0,128,926980,926980,6310144,256,8192,0,36,36,16,64,0x0,0x14d162814e40,98677.3125000000,93693.5000000000,98596,22778496,376288
48,"kernel_phase1(int*, int, int) [clone .kd]",2,0,133,926980,926980,256,256,4096,0,20,20,16,64,0x0,0x14d162814d80,8.3750000000,0.0000000000,4,1224,35320
49,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,73,926980,926980,40192,256,8192,0,36,36,16,64,0x0,0x14d162814dc0,652.4375000000,0.0000000000,628,139776,24680
50,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,73,926980,926980,40192,256,8192,0,32,32,16,64,0x0,0x14d162814e00,668.8750000000,0.0000000000,628,141024,22992
51,"kernel_phase3(int*, int, int) [clone .kd]",2,0,139,926980,926980,6310144,256,8192,0,36,36,16,64,0x0,0x14d162814e40,98681.8750000000,93686.6875000000,98596,22778496,376773
52,"kernel_phase1(int*, int, int) [clone .kd]",2,0,144,926980,926980,256,256,4096,0,20,20,16,64,0x0,0x14d162814d80,8.3750000000,0.0000000000,4,1224,34932
53,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,79,926980,926980,40192,256,8192,0,36,36,16,64,0x0,0x14d162814dc0,654.5000000000,0.0000000000,628,139776,24245
54,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,79,926980,926980,40192,256,8192,0,32,32,16,64,0x0,0x14d162814e00,664.2500000000,0.0000000000,628,141024,22525
55,"kernel_phase3(int*, int, int) [clone .kd]",2,0,150,926980,926980,6310144,256,8192,0,36,36,16,64,0x0,0x14d162814e40,98652.4375000000,93691.9375000000,98596,22778496,375268
56,"kernel_phase1(int*, int, int) [clone .kd]",2,0,155,926980,926980,256,256,4096,0,20,20,16,64,0x0,0x14d162814d80,8.3750000000,0.0000000000,4,1224,34612
57,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,85,926980,926980,40192,256,8192,0,36,36,16,64,0x0,0x14d162814dc0,649.6250000000,0.0000000000,628,139776,25905
58,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,85,926980,926980,40192,256,8192,0,32,32,16,64,0x0,0x14d162814e00,669.9375000000,0.0000000000,628,141024,22361
59,"kernel_phase3(int*, int, int) [clone .kd]",2,0,161,926980,926980,6310144,256,8192,0,36,36,16,64,0x0,0x14d162814e40,98676.7500000000,93684.3125000000,98596,22778496,377804
60,"kernel_phase1(int*, int, int) [clone .kd]",2,0,166,926980,926980,256,256,4096,0,20,20,16,64,0x0,0x14d162814d80,8.3750000000,0.0000000000,4,1224,34300
61,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,91,926980,926980,40192,256,8192,0,36,36,16,64,0x0,0x14d162814dc0,653.6250000000,0.0000000000,628,139776,25524
62,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,91,926980,926980,40192,256,8192,0,32,32,16,64,0x0,0x14d162814e00,669.7500000000,0.0000000000,628,141024,24036
63,"kernel_phase3(int*, int, int) [clone .kd]",2,0,172,926980,926980,6310144,256,8192,0,36,36,16,64,0x0,0x14d162814e40,98677.2500000000,93689.0000000000,98596,22778496,375580
64,"kernel_phase1(int*, int, int) [clone .kd]",2,0,177,926980,926980,256,256,4096,0,20,20,16,64,0x0,0x14d162814d80,8.3750000000,0.0000000000,4,1224,34100
65,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,97,926980,926980,40192,256,8192,0,36,36,16,64,0x0,0x14d162814dc0,651.8750000000,0.0000000000,628,139776,25876
66,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,97,926980,926980,40192,256,8192,0,32,32,16,64,0x0,0x14d162814e00,668.7500000000,0.0000000000,628,141024,22076
67,"kernel_phase3(int*, int, int) [clone .kd]",2,0,183,926980,926980,6310144,256,8192,0,36,36,16,64,0x0,0x14d162814e40,98681.1875000000,93697.8125000000,98596,22778496,376097
68,"kernel_phase1(int*, int, int) [clone .kd]",2,0,188,926980,926980,256,256,4096,0,20,20,16,64,0x0,0x14d162814d80,8.3750000000,0.0000000000,4,1224,33393
69,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,103,926980,926980,40192,256,8192,0,36,36,16,64,0x0,0x14d162814dc0,652.2500000000,0.0000000000,628,139776,25201
70,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,103,926980,926980,40192,256,8192,0,32,32,16,64,0x0,0x14d162814e00,672.5000000000,0.0000000000,628,141024,22977
71,"kernel_phase3(int*, int, int) [clone .kd]",2,0,194,926980,926980,6310144,256,8192,0,36,36,16,64,0x0,0x14d162814e40,98681.8750000000,93658.8750000000,98596,22778496,378604
72,"kernel_phase1(int*, int, int) [clone .kd]",2,0,199,926980,926980,256,256,4096,0,20,20,16,64,0x0,0x14d162814d80,8.3750000000,0.0000000000,4,1224,34652
