Version,BF,Testcase,V,TotalTime_ms,ComputeTime_ms,GOPS,gld_GBs,gst_GBs,shld_GBs,shst_GBs,sm_eff_pct,achieved_occupancy
hw3-2_bf16,16,c21.1,5000,183820.625,182706.266,1.3683165086412525,143.873455,95.915637,575.493819,191.831273,99.789336,0.869194
hw3-2_bf32,32,c21.1,5000,93201.002,91954.834,2.7187260215161713,298.673512,99.557837,2389.388094,398.231349,99.552945,0.903330
hw3-2_bf64,64,c21.1,5000,47746.663,46670.541,5.356698136411146,192.987135,64.329045,3087.794156,128.658090,99.543696,0.911025
