Version,AblationTarget,Testcase,TotalTime_ms,ComputeTime_ms,CommTime_ms,IOTime_ms
hw3-2_no_stream,NoStreams,p15k1,5275.982,2984.299,143.482,2148.201
hw3-2_no_stream,NoStreams,p16k1,6105.594,3672.527,162.230,2270.836
hw3-2_no_stream,NoStreams,p17k1,6617.226,4151.001,190.114,2276.112
hw3-2_no_stream,NoStreams,p18k1,7954.588,4690.993,199.137,3064.458
hw3-2_no_stream,NoStreams,p19k1,8698.298,6070.325,228.464,2399.510
hw3-2_no_stream,NoStreams,p20k1,9680.995,6989.235,260.495,2431.265
hw3-2_no_stream,NoStreams,p21k1,10897.595,7903.228,285.096,2709.271
hw3-2_no_stream,NoStreams,p22k1,12456.391,9037.686,306.937,3111.768
hw3-2_no_stream,NoStreams,p23k1,14408.535,10759.175,333.349,3316.010
hw3-2_no_stream,NoStreams,p24k1,17045.493,11751.027,370.914,4923.553
hw3-2_no_stream,NoStreams,p25k1,19013.107,14046.045,402.621,4564.441
hw3-2_no_stream,NoStreams,p26k1,20156.646,15533.019,423.714,4199.913
hw3-2_no_stream,NoStreams,p27k1,23298.894,16645.125,466.586,6187.183
hw3-2_no_stream,NoStreams,p28k1,25886.930,19610.624,495.789,5780.517
hw3-2_no_stream,NoStreams,p29k1,28454.906,20431.161,529.418,7494.327
hw3-2_no_stream,NoStreams,p30k1,29664.022,23079.701,570.170,6014.151
hw3-2_no_stream,NoStreams,p31k1,33330.910,25394.944,609.014,7326.952
hw3-2_no_stream,NoStreams,p32k1,35882.312,28195.581,645.954,7040.777
hw3-2_no_stream,NoStreams,p33k1,38362.224,30532.642,695.623,7133.959
hw3-2_no_stream,NoStreams,p34k1,52881.540,35572.829,730.984,16577.727
hw3-2_no_stream,NoStreams,p35k1,59164.320,38942.501,768.907,19452.912
hw3-2_no_stream,NoStreams,p36k1,56587.723,40230.063,823.737,15533.923
hw3-2_no_stream,NoStreams,p37k1,66984.125,44090.533,850.577,22043.015
hw3-2_no_stream,NoStreams,p38k1,57941.859,47445.647,916.648,9579.564
hw3-2_no_stream,NoStreams,p39k1,64812.256,53095.717,956.815,10759.724
hw3-2_no_stream,NoStreams,p40k1,76602.759,55015.108,1012.699,20574.952
hw3-2_padding,PaddingVariant,p11k1,2717.906,1414.399,78.810,1224.696
hw3-2_padding,PaddingVariant,p12k1,3086.722,1753.003,90.930,1242.790
hw3-2_padding,PaddingVariant,p13k1,4192.165,2395.412,115.853,1680.900
hw3-2_padding,PaddingVariant,p14k1,4511.998,2764.102,125.078,1622.818
hw3-2_padding,PaddingVariant,p15k1,5819.343,3648.465,152.615,2018.263
hw3-2_padding,PaddingVariant,p16k1,6301.128,4200.562,170.058,1930.509
hw3-2_padding,PaddingVariant,p17k1,7690.694,5258.809,185.022,2246.863
hw3-2_padding,PaddingVariant,p18k1,8987.824,5942.613,209.035,2836.176
hw3-2_padding,PaddingVariant,p19k1,10098.155,7264.655,238.348,2595.151
hw3-2_padding,PaddingVariant,p20k1,11426.454,8678.984,264.266,2483.204
hw3-2_padding,PaddingVariant,p21k1,13144.504,9966.834,289.376,2888.294
hw3-2_padding,PaddingVariant,p22k1,14957.700,11270.518,314.431,3372.751
hw3-2_padding,PaddingVariant,p23k1,16733.101,12930.833,342.651,3459.617
hw3-2_padding,PaddingVariant,p24k1,20713.956,14913.748,375.176,5425.032
hw3-2_padding,PaddingVariant,p25k1,22025.398,17284.139,407.865,4333.394
hw3-2_padding,PaddingVariant,p26k1,24854.594,19796.185,425.444,4632.966
hw3-2_padding,PaddingVariant,p27k1,29976.528,23317.137,468.913,6190.478
hw3-2_padding,PaddingVariant,p28k1,29822.164,22954.192,503.248,6364.723
hw3-2_padding,PaddingVariant,p29k1,33772.658,25636.759,539.783,7596.116
hw3-2_padding,PaddingVariant,p30k1,34736.890,28497.288,576.272,5663.330
hw3-2_padding,PaddingVariant,p31k1,42679.562,33726.568,616.744,8336.250
hw3-2_padding,PaddingVariant,p32k1,43677.178,34970.677,657.666,8048.835
hw3-2_padding,PaddingVariant,p33k1,48640.889,39723.507,697.465,8219.917
hw3-2_padding,PaddingVariant,p34k1,51411.567,41861.669,743.495,8806.403
hw3-2_padding,PaddingVariant,p35k1,58446.639,46748.776,780.906,10916.957
hw3-2_padding,PaddingVariant,p36k1,60861.704,47927.146,825.772,12108.786
hw3-2_padding,PaddingVariant,p37k1,67629.910,54468.218,862.495,12299.197
hw3-2_padding,PaddingVariant,p38k1,67686.410,58004.988,921.387,8760.034
hw3-2_padding,PaddingVariant,p39k1,75505.557,64682.345,970.956,9852.256
hw3-2_padding,PaddingVariant,p40k1,84511.183,67470.702,1017.577,16022.904
