Version,BR,BC,GrandTotalTime_ms,GrandComputeTime_ms
hw4_128_16,128,16,9995.334,1853.546
hw4_128_32,128,32,9605.284,1927.669
hw4_128_8,128,8,11439.165,1464.415
hw4_64_16,64,16,8234.706,1886.674
hw4_64_32,64,32,8587.932,2974.956
hw4_64_64,64,64,9226.212,2383.663
hw4_64_8,64,8,7916.920,1516.092
