ExeName,VersionID,Description,Testcase,TotalTime_ms,IOTime_ms,CommuTime_ms,ComputeTime_ms
hw4_2_2D_align,2,2D_align,t16,881.318,357.763,108.725,414.831
hw4_2_2D_align,2,2D_align,t17,1257.067,363.243,101.811,792.013
hw4_2_2D_align,2,2D_align,t18,971.971,274.294,78.664,619.013
hw4_2_2D_align,2,2D_align,t19,1548.523,280.009,81.903,1186.611
hw4_2_2D_align,2,2D_align,t20,1070.825,197.081,53.166,820.577
hw4_2_2D_align,2,2D_align,t21,2488.245,398.036,129.106,1961.102
hw4_2_2D_align,2,2D_align,t22,5279.849,889.593,268.924,4121.332
hw4_2_2D_align,2,2D_align,t23,1836.836,201.307,55.628,1579.901
hw4_2_2D_align,2,2D_align,t24,3771.764,362.093,110.232,3299.438
hw4_2_2D_align,2,2D_align,t25,2062.637,135.133,33.007,1894.497
hw4_2_2D_align,2,2D_align,t26,1412.289,75.224,22.330,1314.734
hw4_2_2D_align,2,2D_align,t27,2623.714,75.996,22.474,2525.244
hw4_2_2D_align,2,2D_align,t28,2209.826,58.598,17.987,2133.241
hw4_2_2D_align,2,2D_align,t29,4317.605,63.280,18.123,4236.202
hw4_2_2D_align,2,2D_align,t30,4401.939,62.240,17.373,4322.327
hw4_3_block_tuning,3,block_tuning,t01,31.112,18.695,7.063,5.353
hw4_3_block_tuning,3,block_tuning,t02,43.392,29.914,7.094,6.384
hw4_3_block_tuning,3,block_tuning,t03,33.708,17.442,6.162,10.104
hw4_3_block_tuning,3,block_tuning,t04,32.767,16.228,6.045,10.494
hw4_3_block_tuning,3,block_tuning,t05,48.653,22.330,6.593,19.730
hw4_3_block_tuning,3,block_tuning,t06,46.953,17.363,6.622,22.968
hw4_3_block_tuning,3,block_tuning,t07,72.302,20.039,6.288,45.975
hw4_3_block_tuning,3,block_tuning,t08,72.353,24.148,6.678,41.527
hw4_3_block_tuning,3,block_tuning,t09,118.326,20.822,6.212,91.293
hw4_3_block_tuning,3,block_tuning,t10,111.463,22.576,6.462,82.425
hw4_3_block_tuning,3,block_tuning,t11,1115.410,678.243,213.835,223.332
hw4_3_block_tuning,3,block_tuning,t12,1513.453,891.123,301.881,320.449
hw4_3_block_tuning,3,block_tuning,t13,1149.655,552.940,203.604,393.111
hw4_3_block_tuning,3,block_tuning,t14,811.454,430.381,130.807,250.266
hw4_3_block_tuning,3,block_tuning,t15,956.367,343.547,126.645,486.175
hw4_3_block_tuning,3,block_tuning,t16,839.723,331.384,102.350,405.989
