Version,AblationTarget,Testcase,TotalTime_ms,ComputeTime_ms,CommTime_ms,IOTime_ms
hw3-2_no_stream,NoStreams,p15k1,4975.757,2946.071,142.635,1887.051
hw3-2_no_stream,NoStreams,p16k1,6106.291,3511.009,166.294,2428.988
hw3-2_no_stream,NoStreams,p17k1,7123.571,4545.366,183.453,2394.752
hw3-2_no_stream,NoStreams,p18k1,8035.891,5121.020,198.209,2716.662
hw3-2_no_stream,NoStreams,p19k1,8824.209,6352.097,227.954,2244.157
hw3-2_no_stream,NoStreams,p20k1,9715.111,7024.600,253.603,2436.907
hw3-2_no_stream,NoStreams,p21k1,11186.830,8045.448,278.810,2862.572
hw3-2_no_stream,NoStreams,p22k1,13075.684,9843.527,305.627,2926.530
hw3-2_no_stream,NoStreams,p23k1,14995.467,11389.313,332.992,3273.162
hw3-2_no_stream,NoStreams,p24k1,21338.287,12678.267,362.422,8297.599
hw3-2_no_stream,NoStreams,p25k1,18729.100,14252.091,395.958,4081.051
hw3-2_no_stream,NoStreams,p26k1,20654.447,15731.487,424.085,4498.875
hw3-2_no_stream,NoStreams,p27k1,23663.974,16863.679,460.115,6340.180
hw3-2_no_stream,NoStreams,p28k1,24625.534,19025.443,495.726,5104.365
hw3-2_no_stream,NoStreams,p29k1,28002.616,20810.373,528.267,6663.976
hw3-2_no_stream,NoStreams,p30k1,30501.447,24296.650,569.040,5635.757
hw3-2_no_stream,NoStreams,p31k1,34373.867,26179.684,608.094,7586.089
hw3-2_no_stream,NoStreams,p32k1,37739.433,29859.052,645.700,7234.680
hw3-2_no_stream,NoStreams,p33k1,41854.766,33291.019,688.205,7875.542
hw3-2_no_stream,NoStreams,p34k1,42727.850,33836.001,731.728,8160.122
hw3-2_no_stream,NoStreams,p35k1,49493.088,38257.594,770.654,10464.840
hw3-2_no_stream,NoStreams,p36k1,56175.863,40371.851,819.523,14984.489
hw3-2_no_stream,NoStreams,p37k1,57327.197,44555.427,852.094,11919.676
hw3-2_no_stream,NoStreams,p38k1,63872.745,48067.184,913.406,14892.155
hw3-2_no_stream,NoStreams,p39k1,63376.823,53464.793,960.922,8951.108
hw3-2_no_stream,NoStreams,p40k1,64870.318,54436.691,1001.009,9432.618
hw3-2_padding,PaddingVariant,p11k1,2785.639,1444.377,79.489,1261.773
hw3-2_padding,PaddingVariant,p12k1,3149.270,1786.850,90.529,1271.891
hw3-2_padding,PaddingVariant,p13k1,4075.615,2431.709,111.175,1532.731
hw3-2_padding,PaddingVariant,p14k1,4622.235,2863.880,123.710,1634.644
hw3-2_padding,PaddingVariant,p15k1,5746.381,3666.723,146.342,1933.316
hw3-2_padding,PaddingVariant,p16k1,6977.136,4392.101,163.200,2421.835
hw3-2_padding,PaddingVariant,p17k1,7681.158,5308.320,184.483,2188.356
hw3-2_padding,PaddingVariant,p18k1,8866.559,5968.913,201.807,2695.839
hw3-2_padding,PaddingVariant,p19k1,10028.064,7154.863,228.833,2644.368
hw3-2_padding,PaddingVariant,p20k1,11406.750,8726.206,256.622,2423.922
hw3-2_padding,PaddingVariant,p21k1,12717.685,9631.999,278.911,2806.775
hw3-2_padding,PaddingVariant,p22k1,14720.093,11507.263,309.237,2903.593
hw3-2_padding,PaddingVariant,p23k1,16226.431,12605.163,333.672,3287.596
hw3-2_padding,PaddingVariant,p24k1,22285.041,14653.064,365.297,7266.681
hw3-2_padding,PaddingVariant,p25k1,21428.636,16823.182,398.429,4207.025
hw3-2_padding,PaddingVariant,p26k1,28476.079,18928.518,425.157,9122.404
hw3-2_padding,PaddingVariant,p27k1,31984.579,21818.925,461.552,9704.102
hw3-2_padding,PaddingVariant,p28k1,28497.857,22806.257,495.857,5195.743
hw3-2_padding,PaddingVariant,p29k1,35381.916,26161.705,529.569,8690.642
hw3-2_padding,PaddingVariant,p30k1,35282.935,28800.642,571.326,5910.967
hw3-2_padding,PaddingVariant,p31k1,41650.290,30844.674,606.536,10199.080
hw3-2_padding,PaddingVariant,p32k1,43759.255,35424.279,647.734,7687.242
hw3-2_padding,PaddingVariant,p33k1,45390.544,37277.464,687.156,7425.923
hw3-2_padding,PaddingVariant,p34k1,54521.600,41859.034,734.750,11927.815
hw3-2_padding,PaddingVariant,p35k1,60046.937,44020.444,769.825,15256.668
hw3-2_padding,PaddingVariant,p36k1,70310.550,51529.435,821.509,17959.606
hw3-2_padding,PaddingVariant,p37k1,72064.158,51284.393,851.301,19928.464
hw3-2_padding,PaddingVariant,p38k1,76150.162,57666.368,908.941,17574.853
hw3-2_padding,PaddingVariant,p39k1,81309.675,63638.571,960.351,16710.753
hw3-2_padding,PaddingVariant,p40k1,89120.428,70140.108,1006.961,17973.359
