Version,UnrollFactor,Testcase,TotalTime_ms,ComputeTime_ms
hw3-2_unroll_64,64,p16k1,5905.465,3645.043
hw3-2_unroll_64,64,p17k1,6921.824,4443.359
hw3-2_unroll_64,64,p18k1,8094.028,4935.874
hw3-2_unroll_64,64,p19k1,8478.546,6110.228
hw3-2_unroll_64,64,p20k1,9909.389,7244.446
hw3-2_unroll_64,64,p21k1,11406.868,8420.607
hw3-2_unroll_64,64,p22k1,12954.530,9691.520
hw3-2_unroll_64,64,p23k1,14911.678,10650.109
hw3-2_unroll_64,64,p24k1,17917.660,12406.688
hw3-2_unroll_64,64,p25k1,19734.258,14330.142
hw3-2_unroll_64,64,p26k1,20621.652,15871.410
hw3-2_unroll_64,64,p27k1,24698.342,17371.289
hw3-2_unroll_64,64,p28k1,25824.018,19922.783
hw3-2_unroll_64,64,p29k1,29380.565,21327.083
hw3-2_unroll_64,64,p30k1,32453.494,25528.299
hw3-2_unroll_64,64,p31k1,36788.657,28560.917
hw3-2_unroll_64,64,p32k1,38087.606,30253.829
hw3-2_unroll_64,64,p33k1,41903.670,33816.001
hw3-2_unroll_64,64,p34k1,45186.009,35175.313
hw3-2_unroll_64,64,p35k1,50714.199,39002.756
hw3-2_unroll_64,64,p36k1,54517.876,41051.305
hw3-2_unroll_64,64,p37k1,57337.248,43834.862
hw3-2_unroll_64,64,p38k1,59173.073,49327.067
hw3-2_unroll_64,64,p39k1,69735.871,54857.054
hw3-2_unroll_64,64,p40k1,71293.618,57671.954
hw3-2_unroll_8,8,p11k1,2281.799,1191.298
hw3-2_unroll_8,8,p12k1,3258.123,1480.666
hw3-2_unroll_8,8,p13k1,3420.969,1995.348
hw3-2_unroll_8,8,p14k1,4145.109,2368.839
hw3-2_unroll_8,8,p15k1,5140.014,3014.083
hw3-2_unroll_8,8,p16k1,6626.267,3764.818
hw3-2_unroll_8,8,p17k1,6826.808,4381.062
hw3-2_unroll_8,8,p18k1,8525.579,5030.876
hw3-2_unroll_8,8,p19k1,8641.337,6134.868
hw3-2_unroll_8,8,p20k1,10054.729,7369.012
hw3-2_unroll_8,8,p21k1,11450.737,8427.972
