Version,AblationTarget,Testcase,TotalTime_ms,ComputeTime_ms,CommTime_ms,IOTime_ms
hw3-2_no_unroll,Unknown,p18k1,5476.120,1735.087,144.988,3596.045
hw3-2_no_unroll,Unknown,p19k1,5469.292,2193.617,166.977,3108.698
hw3-2_no_unroll,Unknown,p20k1,6184.647,2572.739,185.317,3426.591
hw3-2_no_unroll,Unknown,p21k1,7080.889,2937.831,202.864,3940.194
hw3-2_no_unroll,Unknown,p22k1,7820.232,3393.873,222.756,4203.603
hw3-2_no_unroll,Unknown,p23k1,8979.385,3993.412,242.481,4743.491
hw3-2_no_unroll,Unknown,p24k1,11179.563,4373.399,264.676,6541.488
hw3-2_no_unroll,Unknown,p25k1,11150.479,4925.214,287.200,5938.065
hw3-2_opt,Unknown,p11k1,2008.201,439.118,56.854,1512.230
hw3-2_opt,Unknown,p12k1,2224.344,538.720,65.463,1620.161
hw3-2_opt,Unknown,p13k1,2470.004,726.158,79.059,1664.787
hw3-2_opt,Unknown,p14k1,3457.701,867.610,89.302,2500.789
hw3-2_opt,Unknown,p15k1,3727.598,1101.429,104.479,2521.690
hw3-2_opt,Unknown,p16k1,4252.475,1329.616,118.291,2804.568
hw3-2_opt,Unknown,p17k1,4709.939,1610.643,133.926,2965.369
hw3-2_opt,Unknown,p18k1,5568.360,1807.626,145.173,3615.561
hw3-2_opt,Unknown,p19k1,5538.858,2288.833,166.647,3083.378
hw3-2_opt,Unknown,p20k1,6379.033,2683.018,184.924,3511.091
hw3-2_opt,Unknown,p21k1,7122.598,3067.434,202.822,3852.343
hw3-2_opt,Unknown,p22k1,8010.097,3544.677,222.926,4242.494
hw3-2_opt,Unknown,p23k1,8937.527,4049.322,242.588,4645.617
hw3-2_opt,Unknown,p24k1,11328.101,4549.313,264.716,6514.072
hw3-2_opt,Unknown,p25k1,11375.174,5137.479,287.286,5950.409
