N,Nodes,Cores,Total_Time_srun,IO_Time,Comm_Time,CPU_Time
50,4,1,0.50,0.022904,0.000013,0.020982
50,4,2,1.59,0.031135,0.002694,0.000202
50,4,3,0.61,0.030750,0.000165,0.000416
50,4,4,0.72,0.026678,0.019251,0.000379
50,4,5,0.76,0.036421,0.000282,0.000426
50,4,6,2.79,0.080458,0.008464,0.003650
50,4,7,2.07,0.058617,0.000443,0.000522
50,4,8,1.13,0.071780,0.017895,0.000733
50,4,9,0.96,0.105692,0.000704,0.000646
50,4,10,0.99,0.124472,0.001005,0.000926
50,4,11,1.11,0.133390,0.000936,0.000548
50,4,12,1.13,0.166343,0.000929,0.000759
50,4,13,1.15,0.159575,0.000985,0.000758
50,4,14,1.24,0.188535,0.001158,0.000717
50,4,15,1.19,0.179953,0.000890,0.000978
50,4,16,1.16,0.198493,0.033650,0.001984
50,4,17,1.10,0.174067,0.000974,0.000842
50,4,18,1.19,0.171116,0.000953,0.001021
50,4,19,1.16,0.175921,0.000683,0.001045
50,4,20,1.29,0.141009,0.000973,0.000920
50,4,21,1.25,0.172489,0.000987,0.000667
50,4,22,1.31,0.166452,0.000789,0.001116
50,4,23,1.36,0.195076,0.000888,0.001164
50,4,24,1.31,0.179701,0.000923,0.000995
50,4,25,1.41,0.155336,0.000815,0.000957
50,4,26,1.44,0.202154,0.001249,0.000958
50,4,27,1.64,0.198430,0.000755,0.001120
50,4,28,1.54,0.182119,0.001009,0.000847
50,4,29,1.39,0.159057,0.000841,0.001049
50,4,30,1.42,0.183675,0.001007,0.000962
50,4,31,1.44,0.154919,0.000727,0.000991
50,4,32,1.18,0.183864,0.025772,0.001260
50,4,33,1.25,0.177655,0.000829,0.001379
50,4,34,1.54,0.199398,0.000975,0.001133
50,4,35,1.34,0.183641,0.000702,0.001051
50,4,36,1.36,0.207710,0.001008,0.000999
50,4,37,1.33,0.193636,0.000780,0.001254
50,4,38,2.63,1.425866,0.001280,0.004462
50,4,39,1.51,0.262606,0.001156,0.001371
50,4,40,1.61,0.175111,0.001145,0.000887
50,4,41,1.41,0.181763,0.000931,0.001157
50,4,42,1.51,0.182059,0.001134,0.001235
50,4,43,1.47,0.205253,0.001194,0.001432
50,4,44,1.50,0.255256,0.001322,0.003275
50,4,45,1.50,0.198150,0.000956,0.001399
50,4,46,1.46,0.195061,0.001035,0.001533
50,4,47,1.51,0.205844,0.000928,0.001482
50,4,48,1.49,0.205911,0.001396,0.001552
