N,Nodes,Cores,Total_Time_srun,IO_Time,Comm_Time,CPU_Time
63942,4,1,0.55,0.026401,0.000008,0.027671
63942,4,2,0.59,0.022310,0.002758,0.001911
63942,4,3,0.69,0.031855,0.003093,0.001672
63942,4,4,0.60,0.033094,0.010356,0.001436
63942,4,5,1.86,0.973908,0.017402,0.001850
63942,4,6,1.96,0.057230,0.000823,0.001265
63942,4,7,0.92,0.059757,0.000995,0.001179
63942,4,8,0.96,0.090531,0.018375,0.001198
63942,4,9,0.94,0.115238,0.001268,0.001148
63942,4,10,1.06,0.108583,0.003952,0.001216
63942,4,11,1.05,0.149376,0.001390,0.001157
63942,4,12,1.03,0.140564,0.001301,0.001667
63942,4,13,1.19,0.166433,0.001307,0.001285
63942,4,14,1.13,0.177880,0.001633,0.001362
63942,4,15,1.38,0.212589,0.001582,0.001743
63942,4,16,1.20,0.168170,0.034797,0.001590
63942,4,17,1.18,0.208922,0.001312,0.001407
63942,4,18,1.21,0.189007,0.001518,0.001157
63942,4,19,1.20,0.189113,0.001466,0.001434
63942,4,20,1.20,0.186098,0.004043,0.001200
63942,4,21,1.27,0.195501,0.001687,0.001283
63942,4,22,1.27,0.187033,0.001358,0.001388
63942,4,23,1.29,0.204954,0.001441,0.001336
63942,4,24,1.28,0.186372,0.001488,0.001689
63942,4,25,1.33,0.202086,0.001445,0.001224
63942,4,26,2.57,0.207589,0.001175,0.001923
63942,4,27,1.49,0.308150,0.002556,0.001807
63942,4,28,1.39,0.209309,0.002082,0.001301
63942,4,29,1.50,0.178623,0.001622,0.001101
63942,4,30,2.55,0.213974,0.001823,0.001371
63942,4,31,1.41,0.193810,0.001504,0.001452
63942,4,32,1.18,0.199458,0.026267,0.001481
63942,4,33,1.30,0.222046,0.001428,0.001463
63942,4,34,1.27,0.212411,0.001657,0.001538
63942,4,35,1.33,0.209541,0.001464,0.001674
63942,4,36,2.56,1.450469,0.001728,0.001298
63942,4,37,2.48,0.220570,0.001781,0.001370
63942,4,38,2.62,0.208408,0.002016,0.001296
63942,4,39,1.36,0.184547,0.001656,0.001293
63942,4,40,1.49,0.215365,0.002540,0.001723
63942,4,41,1.41,0.217377,0.002152,0.001707
63942,4,42,1.56,0.215364,0.001843,0.001439
63942,4,43,1.42,0.204033,0.001668,0.001594
63942,4,44,1.47,0.196863,0.001785,0.003574
63942,4,45,1.55,0.218671,0.001803,0.001545
63942,4,46,1.49,0.212053,0.002482,0.001594
63942,4,47,1.51,0.200543,0.001662,0.001514
63942,4,48,1.49,0.219306,0.001773,0.001485
