N,Nodes,Cores,Total_Time_srun,IO_Time,Comm_Time,CPU_Time
536869888,4,1,24.05,3.442304,0.000034,20.081612
536869888,4,2,14.95,2.205441,1.081887,10.530071
536869888,4,3,11.46,1.453942,1.903775,7.299697
536869888,4,4,9.99,1.631792,1.528069,5.840350
536869888,4,5,9.29,1.676251,1.839124,4.988222
536869888,4,6,8.63,2.244625,1.471333,4.161293
536869888,4,7,9.06,2.471777,1.837909,3.924443
536869888,4,8,9.16,2.993828,1.723613,3.520141
536869888,4,9,8.91,2.807379,1.967240,3.326677
536869888,4,10,9.28,2.294190,2.035496,3.072433
536869888,4,11,8.94,2.642614,2.395842,3.004178
536869888,4,12,9.46,3.414175,2.398724,2.734304
536869888,4,13,9.81,2.280957,2.744311,2.752012
536869888,4,14,8.29,2.403248,2.386481,2.536933
536869888,4,15,8.98,2.705796,2.731269,2.537764
536869888,4,16,8.18,2.259262,2.633027,2.385637
536869888,4,17,9.26,2.966589,2.898681,2.437416
536869888,4,18,8.38,2.521519,2.565030,2.240242
536869888,4,19,8.23,2.162836,2.769340,2.252879
536869888,4,20,8.04,2.295625,2.610088,2.128738
536869888,4,21,8.03,1.997494,2.860171,2.144003
536869888,4,22,8.09,2.265057,2.642691,1.987428
536869888,4,23,8.19,1.881587,3.143960,2.030380
536869888,4,24,7.72,1.868583,2.727540,1.943418
536869888,4,25,7.86,2.034351,2.760252,1.927297
536869888,4,26,7.62,1.777739,2.752416,1.893046
536869888,4,27,8.20,2.137667,2.877834,1.908213
536869888,4,28,7.95,2.269592,2.708579,1.778554
536869888,4,29,7.77,1.990005,2.798810,1.777374
536869888,4,30,7.60,1.685451,2.773221,1.739476
536869888,4,31,7.58,1.788679,2.772475,1.757919
536869888,4,32,7.49,1.798443,2.936896,1.742611
536869888,4,33,7.86,2.131752,2.821050,1.782418
536869888,4,34,8.10,2.463085,2.812838,1.710503
536869888,4,35,7.67,1.742445,2.831779,1.749462
536869888,4,36,7.19,1.669007,2.779525,1.699352
536869888,4,37,8.63,1.689056,3.021756,1.750843
536869888,4,38,7.70,1.738558,2.802194,1.682249
536869888,4,39,7.63,1.677711,3.037835,1.716158
536869888,4,40,8.36,2.678081,2.948020,1.646605
536869888,4,41,7.63,1.701576,3.026295,1.664627
536869888,4,42,7.36,1.655329,2.899223,1.586414
536869888,4,43,7.45,1.534099,3.041714,1.642825
536869888,4,44,7.76,1.899248,3.036336,1.601135
536869888,4,45,7.38,1.500102,3.049877,1.597915
536869888,4,46,7.81,1.927716,3.002862,1.580330
536869888,4,47,7.60,1.451618,3.141897,1.643155
536869888,4,48,7.58,1.750185,3.053431,1.563560
