N,Nodes,Cores,Total_Time_srun,IO_Time,Comm_Time,CPU_Time
400000,4,1,0.81,0.029368,0.000009,0.035173
400000,4,2,0.57,0.034264,0.001259,0.006323
400000,4,3,0.61,0.053049,0.002290,0.004646
400000,4,4,0.63,0.031453,0.019997,0.006269
400000,4,5,0.78,0.043242,0.001741,0.003114
400000,4,6,0.79,0.052674,0.002245,0.002582
400000,4,7,1.00,0.127301,0.001354,0.002807
400000,4,8,1.34,0.327603,0.045828,0.002799
400000,4,9,1.22,0.307006,0.004642,0.007619
400000,4,10,1.06,0.115992,0.003916,0.001787
400000,4,11,1.13,0.132111,0.001275,0.001712
400000,4,12,1.17,0.149639,0.001448,0.001615
400000,4,13,1.10,0.130641,0.003736,0.001642
400000,4,14,1.20,0.166571,0.001368,0.001594
400000,4,15,1.36,0.248727,0.001464,0.002245
400000,4,16,1.05,0.168660,0.018984,0.001588
400000,4,17,1.14,0.176361,0.004027,0.001455
400000,4,18,1.19,0.189505,0.001494,0.001501
400000,4,19,1.13,0.162720,0.001398,0.001390
400000,4,20,2.18,0.177461,0.001361,0.001380
400000,4,21,1.24,0.172300,0.000989,0.002768
400000,4,22,1.27,0.205551,0.001417,0.001692
400000,4,23,1.25,0.151764,0.001015,0.001305
400000,4,24,1.55,0.344791,0.003207,0.002300
400000,4,25,1.42,0.219064,0.001298,0.001548
400000,4,26,1.49,0.221167,0.001538,0.001897
400000,4,27,1.44,0.207325,0.001215,0.001634
400000,4,28,1.42,0.209744,0.001255,0.001362
400000,4,29,1.61,0.177910,0.001197,0.001651
400000,4,30,2.59,0.195443,0.001676,0.001543
400000,4,31,1.62,0.197537,0.001811,0.001614
400000,4,32,1.25,0.201415,0.025888,0.001800
400000,4,33,1.22,0.182266,0.000976,0.001852
400000,4,34,1.43,0.357762,0.001753,0.002264
400000,4,35,1.60,0.209734,0.001388,0.001446
400000,4,36,1.53,0.356406,0.002262,0.002486
400000,4,37,1.33,0.212927,0.001282,0.001469
400000,4,38,1.40,0.223381,0.001429,0.001576
400000,4,39,1.93,0.586913,0.044363,0.002024
400000,4,40,1.42,0.272926,0.001439,0.001849
400000,4,41,1.65,0.198481,0.001017,0.001633
400000,4,42,1.41,0.181309,0.001124,0.001525
400000,4,43,1.43,0.229954,0.000966,0.003223
400000,4,44,1.45,0.206624,0.001215,0.003719
400000,4,45,1.52,0.205969,0.001387,0.001686
400000,4,46,1.46,0.180046,0.001065,0.001726
400000,4,47,1.68,0.427875,0.002149,0.005030
400000,4,48,1.49,0.159720,0.001291,0.001521
