N,Nodes,Cores,Total_Time_srun,IO_Time,Comm_Time,CPU_Time
64123487,4,1,4.19,0.950852,0.000036,2.743227
64123487,4,2,3.04,0.880187,0.112780,1.479989
64123487,4,3,6.53,0.198752,0.448624,1.066425
64123487,4,4,2.01,0.283731,0.313903,0.817206
64123487,4,5,2.01,0.272366,0.341031,0.659217
64123487,4,6,1.89,0.326837,0.294414,0.544599
64123487,4,7,1.96,0.314630,0.321045,0.483523
64123487,4,8,1.80,0.338423,0.248292,0.431902
64123487,4,9,2.02,0.392952,0.259837,0.416187
64123487,4,10,1.86,0.394156,0.252358,0.372787
64123487,4,11,2.10,0.503901,0.242776,0.361106
64123487,4,12,2.10,0.568988,0.260876,0.344257
64123487,4,13,2.03,0.430853,0.246181,0.341483
64123487,4,14,1.97,0.438790,0.267891,0.313557
64123487,4,15,2.18,0.548737,0.261993,0.318946
64123487,4,16,1.87,0.441275,0.253779,0.293564
64123487,4,17,2.04,0.567153,0.265697,0.295596
64123487,4,18,2.05,0.550039,0.255730,0.274858
64123487,4,19,1.99,0.433410,0.268923,0.277054
64123487,4,20,1.92,0.418095,0.256734,0.264395
64123487,4,21,1.99,0.414762,0.271150,0.263475
64123487,4,22,2.95,1.358180,0.259254,0.256912
64123487,4,23,2.05,0.365617,0.250292,0.251248
64123487,4,24,2.24,0.453939,0.264446,0.255894
64123487,4,25,2.08,0.394853,0.264724,0.249554
64123487,4,26,2.22,0.431764,0.278214,0.247463
64123487,4,27,2.33,0.422706,0.279685,0.243434
64123487,4,28,2.36,0.365470,0.291315,0.236381
64123487,4,29,2.33,0.510190,0.287136,0.240730
64123487,4,30,2.14,0.377613,0.280066,0.230190
64123487,4,31,2.51,0.425580,0.282490,0.234961
64123487,4,32,1.78,0.375005,0.266972,0.221253
64123487,4,33,2.00,0.403050,0.267931,0.224320
64123487,4,34,1.98,0.406579,0.271111,0.214848
64123487,4,35,2.12,0.436855,0.278876,0.222862
64123487,4,36,1.95,0.407183,0.274012,0.214769
64123487,4,37,2.09,0.423626,0.278054,0.223146
64123487,4,38,2.11,0.408679,0.282924,0.208049
64123487,4,39,2.17,0.497327,0.272907,0.204434
64123487,4,40,2.16,0.419247,0.277535,0.206311
64123487,4,41,2.15,0.410200,0.284156,0.201421
64123487,4,42,2.86,1.092715,0.305535,0.191266
64123487,4,43,2.06,0.407458,0.289427,0.189696
64123487,4,44,3.10,0.381845,0.305015,0.187429
64123487,4,45,2.20,0.433376,0.293064,0.192365
64123487,4,46,2.14,0.372795,0.286188,0.192769
64123487,4,47,2.22,0.406314,0.294615,0.198637
64123487,4,48,2.34,0.410505,0.294795,0.179914
