N,Nodes,Cores,Total_Time_srun,IO_Time,Comm_Time,CPU_Time
100,4,1,0.63,0.024721,0.000005,0.005331
100,4,2,0.53,0.031587,0.000053,0.000163
100,4,3,0.60,0.033607,0.000175,0.000496
100,4,4,0.85,0.030233,0.019104,0.000363
100,4,5,0.79,0.035767,0.000260,0.000249
100,4,6,0.79,0.055285,0.000826,0.000559
100,4,7,0.88,0.073555,0.000777,0.000592
100,4,8,0.92,0.090328,0.018444,0.000708
100,4,9,0.91,0.098230,0.000640,0.000823
100,4,10,1.01,0.115895,0.001044,0.000986
100,4,11,1.25,0.219361,0.001511,0.001104
100,4,12,1.10,0.156680,0.001006,0.000935
100,4,13,1.16,0.131344,0.000732,0.000807
100,4,14,1.26,0.198331,0.001005,0.000877
100,4,15,1.27,0.234518,0.001091,0.001054
100,4,16,1.10,0.185508,0.018184,0.001252
100,4,17,1.25,0.279807,0.001441,0.001524
100,4,18,1.18,0.172763,0.000893,0.000866
100,4,19,1.29,0.182185,0.001134,0.001028
100,4,20,1.26,0.194235,0.001170,0.001163
100,4,21,1.27,0.197149,0.001113,0.000883
100,4,22,1.37,0.177809,0.000979,0.000952
100,4,23,2.36,0.197403,0.000936,0.000918
100,4,24,1.43,0.166351,0.000800,0.001095
100,4,25,8.67,0.200461,0.000932,0.001082
100,4,26,1.52,0.194444,0.001066,0.001426
100,4,27,1.59,0.209828,0.001455,0.001023
100,4,28,1.50,0.257863,0.000850,0.000979
100,4,29,1.82,0.196357,0.000858,0.001121
100,4,30,1.42,0.195882,0.001110,0.001075
100,4,31,1.49,0.209190,0.001110,0.001518
100,4,32,1.19,0.212630,0.025574,0.001469
100,4,33,1.36,0.193725,0.000830,0.001035
100,4,34,1.33,0.213491,0.000981,0.001094
100,4,35,1.50,0.208646,0.000818,0.001108
100,4,36,1.56,0.407235,0.002620,0.003461
100,4,37,1.45,0.217540,0.001094,0.001027
100,4,38,1.63,0.215461,0.001182,0.001226
100,4,39,1.66,0.216328,0.000873,0.001283
100,4,40,1.36,0.190219,0.000920,0.001165
100,4,41,2.62,0.295629,0.001766,0.001798
100,4,42,1.44,0.201882,0.000994,0.001325
100,4,43,1.40,0.187652,0.000960,0.001134
100,4,44,1.48,0.210848,0.001303,0.003725
100,4,45,1.60,0.217158,0.001177,0.001426
100,4,46,1.47,0.194787,0.001136,0.001208
100,4,47,1.48,0.220706,0.000785,0.001637
100,4,48,1.74,0.244493,0.001033,0.001476
