N,Nodes,Cores,Total_Time_srun,IO_Time,Comm_Time,CPU_Time
400009,4,1,0.51,0.028849,0.000009,0.011746
400009,4,2,0.59,0.034132,0.001267,0.006618
400009,4,3,0.60,0.033489,0.002334,0.004626
400009,4,4,0.67,0.031148,0.019253,0.003822
400009,4,5,0.77,0.043754,0.002118,0.003096
400009,4,6,0.85,0.057004,0.001891,0.002475
400009,4,7,0.89,0.067182,0.001359,0.002464
400009,4,8,0.90,0.073853,0.018796,0.002285
400009,4,9,1.95,0.091111,0.001007,0.002213
400009,4,10,0.98,0.114114,0.001216,0.001870
400009,4,11,1.06,0.125586,0.001431,0.001969
400009,4,12,1.07,0.131860,0.001311,0.001575
400009,4,13,1.19,0.162521,0.001272,0.001829
400009,4,14,1.32,0.260098,0.001399,0.003130
400009,4,15,1.23,0.200035,0.003944,0.001631
400009,4,16,1.20,0.203065,0.018469,0.002197
400009,4,17,1.16,0.182330,0.001612,0.001834
400009,4,18,1.20,0.190168,0.003144,0.001597
400009,4,19,1.20,0.195921,0.001321,0.001581
400009,4,20,1.88,0.819747,0.047187,0.001732
400009,4,21,1.42,0.306820,0.002324,0.003120
400009,4,22,1.32,0.197314,0.001318,0.001606
400009,4,23,1.23,0.153353,0.003714,0.001347
400009,4,24,1.37,0.222805,0.001655,0.002441
400009,4,25,1.53,0.228547,0.001303,0.001557
400009,4,26,1.45,0.221322,0.001134,0.001462
400009,4,27,1.52,0.331227,0.001819,0.002315
400009,4,28,1.46,0.218147,0.001651,0.001565
400009,4,29,1.48,0.196005,0.001618,0.001648
400009,4,30,1.49,0.204242,0.001393,0.001683
400009,4,31,1.52,0.214453,0.001450,0.001679
400009,4,32,1.45,0.220880,0.018477,0.001683
400009,4,33,1.31,0.205844,0.001314,0.001616
400009,4,34,1.37,0.188894,0.001248,0.001593
400009,4,35,1.33,0.182022,0.001269,0.001433
400009,4,36,1.37,0.200503,0.001533,0.001698
400009,4,37,1.54,0.210662,0.001514,0.001533
400009,4,38,1.30,0.194157,0.001202,0.001523
400009,4,39,1.51,0.219285,0.001120,0.001721
400009,4,40,1.36,0.212126,0.001376,0.001598
400009,4,41,1.33,0.202205,0.001209,0.001592
400009,4,42,1.60,0.348424,0.001889,0.002615
400009,4,43,1.43,0.201684,0.001233,0.001511
400009,4,44,1.43,0.188952,0.001076,0.003688
400009,4,45,1.53,0.227097,0.001289,0.002105
400009,4,46,1.44,0.202677,0.001121,0.001625
400009,4,47,1.47,0.192727,0.001115,0.001702
400009,4,48,1.46,0.198161,0.001192,0.001799
