N,Nodes,Cores,Total_Time_srun,IO_Time,Comm_Time,CPU_Time
12347,4,1,0.65,0.022466,0.000003,0.008258
12347,4,2,0.55,0.026873,0.002738,0.000464
12347,4,3,0.86,0.028289,0.002774,0.000521
12347,4,4,0.62,0.025984,0.009595,0.000492
12347,4,5,1.79,0.033637,0.000487,0.000421
12347,4,6,0.84,0.080768,0.001300,0.000892
12347,4,7,0.84,0.059782,0.003570,0.000809
12347,4,8,0.89,0.082142,0.017963,0.000801
12347,4,9,0.94,0.108854,0.003677,0.000985
12347,4,10,1.07,0.154279,0.003739,0.001194
12347,4,11,1.05,0.132325,0.000759,0.000962
12347,4,12,1.07,0.141572,0.000982,0.000869
12347,4,13,1.97,0.953851,0.004591,0.000700
12347,4,14,1.25,0.141831,0.000963,0.002289
12347,4,15,1.28,0.177901,0.003854,0.000843
12347,4,16,1.12,0.157963,0.018701,0.000837
12347,4,17,1.19,0.201292,0.003017,0.001625
12347,4,18,1.16,0.163888,0.001060,0.000790
12347,4,19,1.19,0.158018,0.001191,0.000876
12347,4,20,1.18,0.168325,0.003822,0.001177
12347,4,21,1.27,0.184065,0.001061,0.000924
12347,4,22,1.23,0.158531,0.001500,0.001121
12347,4,23,1.40,0.182156,0.001433,0.001260
12347,4,24,1.27,0.178644,0.001057,0.001211
12347,4,25,1.43,0.218688,0.001230,0.000903
12347,4,26,1.47,0.207200,0.001923,0.000934
12347,4,27,1.46,0.248625,0.002049,0.001063
12347,4,28,1.40,0.204715,0.001404,0.001159
12347,4,29,1.55,0.190066,0.001357,0.001194
12347,4,30,1.68,0.206491,0.001170,0.001261
12347,4,31,1.71,0.202497,0.001679,0.001418
12347,4,32,1.19,0.206455,0.017736,0.001228
12347,4,33,1.26,0.189019,0.001380,0.001294
12347,4,34,1.30,0.198175,0.001415,0.001193
12347,4,35,1.34,0.201703,0.001344,0.001168
12347,4,36,1.50,0.310343,0.002328,0.001574
12347,4,37,1.43,0.203897,0.001652,0.001316
12347,4,38,1.35,0.184872,0.001293,0.001223
12347,4,39,1.44,0.211868,0.001597,0.001368
12347,4,40,1.33,0.198203,0.001953,0.001043
12347,4,41,1.33,0.213168,0.001546,0.001103
12347,4,42,1.42,0.178960,0.002093,0.001414
12347,4,43,1.56,0.349346,0.002445,0.002054
12347,4,44,1.44,0.194010,0.001254,0.003352
12347,4,45,1.63,0.189641,0.001355,0.001590
12347,4,46,1.52,0.244834,0.002150,0.001404
12347,4,47,1.56,0.203993,0.001716,0.001758
12347,4,48,1.46,0.182792,0.001657,0.001214
