N,Nodes,Cores,Total_Time_srun,IO_Time,Comm_Time,CPU_Time
536870864,4,1,23.80,3.950594,0.000033,19.264180
536870864,4,2,14.46,1.739764,0.862728,11.084467
536870864,4,3,14.18,2.614277,2.252623,8.512370
536870864,4,4,9.79,1.065915,1.294116,6.674186
536870864,4,5,9.92,1.526211,1.819642,5.741527
536870864,4,6,8.98,1.835054,1.251233,5.105683
536870864,4,7,9.33,2.019258,1.523955,4.631747
536870864,4,8,8.76,2.281900,1.431777,4.250726
536870864,4,9,8.93,1.926389,2.071122,4.028130
536870864,4,10,8.68,1.954426,1.809488,3.774433
536870864,4,11,10.39,1.896302,2.266739,3.630456
536870864,4,12,14.74,2.381120,2.061893,3.519994
536870864,4,13,9.66,2.487961,2.609230,3.464747
536870864,4,14,8.71,2.116916,2.303724,3.332944
536870864,4,15,9.60,2.584757,2.528257,3.291479
536870864,4,16,9.03,2.344232,2.521180,3.134782
536870864,4,17,8.73,1.943837,2.802207,3.029204
536870864,4,18,13.97,7.609669,2.423917,2.792337
536870864,4,19,8.53,2.060899,2.656546,2.816783
536870864,4,20,8.12,1.930255,2.449101,2.701572
536870864,4,21,9.80,3.395158,2.636176,2.672276
536870864,4,22,8.18,1.778226,2.512413,2.570928
536870864,4,23,7.79,1.585671,2.579960,2.540435
536870864,4,24,7.81,1.689810,2.455176,2.502042
536870864,4,25,7.95,1.589940,2.582849,2.491226
536870864,4,26,7.69,1.665754,2.397504,2.448053
536870864,4,27,8.10,1.815289,2.591629,2.420650
536870864,4,28,7.63,1.581189,2.459820,2.377525
536870864,4,29,7.97,1.763556,2.493828,2.372260
536870864,4,30,7.46,1.422474,2.543977,2.215335
536870864,4,31,7.63,1.594596,2.532307,2.239390
536870864,4,32,7.62,1.846686,2.490998,2.340282
536870864,4,33,7.71,1.721176,2.582787,2.307713
536870864,4,34,7.39,1.379039,2.533070,2.178043
536870864,4,35,7.38,1.505226,2.519901,2.267753
536870864,4,36,7.23,1.421372,2.442479,2.199665
536870864,4,37,7.59,1.502434,2.550059,2.306218
536870864,4,38,7.38,1.448479,2.484110,2.296104
536870864,4,39,7.48,1.491569,2.462452,2.206434
536870864,4,40,7.41,1.670149,2.401309,2.173715
536870864,4,41,7.31,1.460673,2.503242,2.162925
536870864,4,42,7.53,1.716362,2.488700,2.073859
536870864,4,43,7.27,1.387363,2.588846,2.084462
536870864,4,44,8.18,1.364027,2.477976,2.048302
536870864,4,45,7.60,1.667967,2.556843,2.122041
536870864,4,46,7.20,1.301231,2.563701,2.076667
536870864,4,47,7.15,1.217806,2.534715,2.132834
536870864,4,48,7.38,1.539459,2.481365,2.098319
