N,Nodes,Cores,Total_Time_srun,IO_Time,Comm_Time,CPU_Time
64123513,4,1,2.91,0.407775,0.000028,2.006748
64123513,4,2,2.02,0.260098,0.129126,1.053541
64123513,4,3,1.67,0.209048,0.242317,0.684608
64123513,4,4,1.54,0.211788,0.207255,0.504746
64123513,4,5,1.54,0.253776,0.162922,0.388166
64123513,4,6,1.52,0.314069,0.149823,0.321065
64123513,4,7,1.65,0.443487,0.116929,0.285482
64123513,4,8,1.56,0.384030,0.113680,0.233583
64123513,4,9,1.63,0.465755,0.106477,0.219371
64123513,4,10,2.04,0.603287,0.104604,0.205758
64123513,4,11,1.67,0.491134,0.077527,0.177125
64123513,4,12,1.69,0.515609,0.081939,0.181118
64123513,4,13,1.72,0.477192,0.067275,0.162621
64123513,4,14,1.80,0.459895,0.073363,0.160221
64123513,4,15,1.97,0.660207,0.061897,0.156517
64123513,4,16,2.37,1.236206,0.066715,0.142836
64123513,4,17,1.65,0.460620,0.074044,0.125835
64123513,4,18,1.52,0.393057,0.052811,0.128053
64123513,4,19,1.72,0.416925,0.053014,0.122067
64123513,4,20,1.64,0.409030,0.057085,0.113943
64123513,4,21,1.64,0.383656,0.055986,0.111294
64123513,4,22,1.72,0.494224,0.056356,0.105954
64123513,4,23,1.97,0.614185,0.039859,0.114746
64123513,4,24,1.64,0.381757,0.051435,0.096344
64123513,4,25,1.98,0.734695,0.043620,0.100929
64123513,4,26,1.80,0.425377,0.046055,0.096830
64123513,4,27,1.87,0.378807,0.038200,0.095463
64123513,4,28,1.77,0.363048,0.045471,0.089352
64123513,4,29,1.72,0.370896,0.048411,0.080532
64123513,4,30,1.83,0.358323,0.035444,0.090919
64123513,4,31,1.87,0.383588,0.042950,0.081675
64123513,4,32,1.53,0.385420,0.058403,0.073824
64123513,4,33,1.56,0.393448,0.048032,0.067087
64123513,4,34,1.64,0.431846,0.036162,0.077397
64123513,4,35,1.63,0.369864,0.038644,0.074235
64123513,4,36,1.60,0.359851,0.036608,0.059603
64123513,4,37,1.69,0.419395,0.035254,0.072667
64123513,4,38,1.81,0.511858,0.033815,0.072790
64123513,4,39,1.84,0.571202,0.029824,0.075159
64123513,4,40,1.89,0.417446,0.039236,0.061754
64123513,4,41,2.03,0.748723,0.045405,0.066587
64123513,4,42,1.61,0.386734,0.039534,0.059109
64123513,4,43,1.72,0.396438,0.029612,0.071229
64123513,4,44,1.70,0.361613,0.040517,0.059716
64123513,4,45,1.94,0.442919,0.039840,0.061052
64123513,4,46,1.69,0.387559,0.032742,0.058434
64123513,4,47,1.75,0.394789,0.038366,0.056896
64123513,4,48,1.76,0.396523,0.023725,0.057451
