N,Nodes,Cores,Total_Time_srun,IO_Time,Comm_Time,CPU_Time
536869888,4,1,10.05,3.287666,0.000026,6.292630
536869888,4,2,9.73,1.917791,2.577742,3.441608
536869888,4,3,6.50,1.626211,2.381519,1.696369
536869888,4,4,9.02,2.236741,4.132774,1.777367
536869888,4,5,5.91,1.614393,2.562488,0.945477
536869888,4,6,6.28,2.095841,2.624426,0.769489
536869888,4,7,6.68,2.623299,2.618215,0.652952
536869888,4,8,8.69,2.340483,4.705445,0.876688
536869888,4,9,6.18,2.213835,2.587789,0.512064
536869888,4,10,8.38,3.337179,2.581746,0.471694
536869888,4,11,6.66,2.684405,2.582727,0.410166
536869888,4,12,6.12,2.176442,2.635089,0.387950
536869888,4,13,6.16,2.171298,2.645234,0.362352
536869888,4,14,6.49,2.410969,2.620798,0.337706
536869888,4,15,6.65,2.659328,2.654772,0.317091
536869888,4,16,10.25,3.006719,5.115698,0.467052
536869888,4,17,6.33,2.288219,2.672555,0.276498
536869888,4,18,6.03,2.153469,2.624864,0.259960
536869888,4,19,6.08,2.160509,2.623415,0.254818
536869888,4,20,6.43,2.340814,2.623904,0.243121
536869888,4,21,6.07,2.114866,2.635464,0.229656
536869888,4,22,5.98,1.918725,2.665660,0.219985
536869888,4,23,7.39,3.311915,2.638375,0.216088
536869888,4,24,6.06,1.838876,2.674570,0.203365
536869888,4,25,6.43,2.363848,2.674363,0.203469
536869888,4,26,5.93,1.817701,2.673251,0.181198
536869888,4,27,5.93,1.940512,2.635915,0.183055
536869888,4,28,6.42,2.166908,2.680154,0.180714
536869888,4,29,6.19,2.113260,2.675957,0.175090
536869888,4,30,7.21,3.125188,2.652461,0.165747
536869888,4,31,6.07,1.900646,2.654842,0.163202
536869888,4,32,5.67,1.886702,2.651845,0.160174
536869888,4,33,5.65,1.748144,2.644353,0.152020
536869888,4,34,5.91,1.746993,2.659554,0.148847
536869888,4,35,5.94,1.952049,2.659868,0.147487
536869888,4,36,5.86,1.655295,2.704218,0.141639
536869888,4,37,5.62,1.599045,2.680502,0.142345
536869888,4,38,5.74,1.752989,2.697450,0.139268
536869888,4,39,5.80,1.776421,2.694995,0.131319
536869888,4,40,5.75,1.778422,2.665102,0.130959
536869888,4,41,5.80,1.812594,2.679917,0.127980
536869888,4,42,5.57,1.569687,2.664636,0.119341
536869888,4,43,6.14,1.717414,2.687004,0.120726
536869888,4,44,5.63,1.566977,2.692884,0.119951
536869888,4,45,5.62,1.589582,2.698949,0.114229
536869888,4,46,6.21,1.895841,2.784029,0.117179
536869888,4,47,5.87,1.758284,2.724194,0.112005
536869888,4,48,5.85,1.700777,2.740943,0.111559
