N,Nodes,Cores,Total_Time_srun,IO_Time,Comm_Time,CPU_Time
99999,4,1,0.55,0.019844,0.000010,0.028248
99999,4,2,0.57,0.025983,0.002805,0.002926
99999,4,3,0.68,0.028684,0.003243,0.002382
99999,4,4,0.58,0.029175,0.004755,0.002096
99999,4,5,0.81,0.045458,0.000727,0.001723
99999,4,6,0.80,0.051814,0.001199,0.001655
99999,4,7,0.87,0.072315,0.001210,0.001528
99999,4,8,0.86,0.075304,0.018695,0.001716
99999,4,9,1.00,0.105097,0.004015,0.001429
99999,4,10,1.03,0.120579,0.001526,0.001528
99999,4,11,0.99,0.134060,0.001541,0.001727
99999,4,12,2.08,0.161140,0.001101,0.001395
99999,4,13,1.16,0.145951,0.001366,0.001467
99999,4,14,1.22,0.165879,0.001420,0.001668
99999,4,15,1.25,0.184201,0.004411,0.001472
99999,4,16,1.22,0.212014,0.020639,0.001951
99999,4,17,1.27,0.173875,0.001650,0.001425
99999,4,18,1.28,0.195352,0.003486,0.001658
99999,4,19,1.24,0.197637,0.001649,0.001613
99999,4,20,1.20,0.182552,0.004167,0.001405
99999,4,21,2.27,1.172948,0.001914,0.001459
99999,4,22,1.45,0.310820,0.001976,0.001672
99999,4,23,1.29,0.184314,0.001691,0.001381
99999,4,24,2.34,0.187282,0.004509,0.001333
99999,4,25,1.32,0.182684,0.002118,0.001665
99999,4,26,1.56,0.217500,0.001609,0.001465
99999,4,27,1.39,0.221566,0.001947,0.001812
99999,4,28,1.76,0.340738,0.002528,0.002048
99999,4,29,1.41,0.154701,0.001835,0.001491
99999,4,30,1.71,0.216102,0.001780,0.001551
99999,4,31,1.54,0.199100,0.002140,0.001452
99999,4,32,1.26,0.217001,0.026321,0.001457
99999,4,33,1.53,0.211620,0.002126,0.001514
99999,4,34,1.32,0.212757,0.002272,0.005345
99999,4,35,1.31,0.197343,0.001741,0.001730
99999,4,36,1.33,0.214618,0.002010,0.001631
99999,4,37,1.37,0.216053,0.002393,0.001642
99999,4,38,1.37,0.219147,0.001880,0.001604
99999,4,39,1.50,0.218432,0.001890,0.001759
99999,4,40,1.32,0.214036,0.001951,0.001855
99999,4,41,1.54,0.226423,0.001994,0.002083
99999,4,42,1.45,0.214626,0.002513,0.001647
99999,4,43,1.38,0.196397,0.001684,0.001516
99999,4,44,1.42,0.169013,0.001811,0.002809
99999,4,45,1.48,0.197393,0.002198,0.001543
99999,4,46,1.45,0.202942,0.001722,0.003715
99999,4,47,1.73,0.228525,0.002088,0.001666
99999,4,48,1.50,0.221332,0.002719,0.001629
