N,Nodes,Cores,Total_Time_srun,IO_Time,Comm_Time,CPU_Time
1,4,1,0.55,0.022630,0.000004,0.023044
1,4,2,0.82,0.010304,0.000006,0.010446
1,4,3,0.59,0.013115,0.000005,0.027305
1,4,4,0.61,0.007633,0.000004,0.023152
1,4,5,0.78,0.006121,0.000003,0.024600
1,4,6,1.81,0.003263,0.000002,0.016453
1,4,7,0.90,0.003099,0.000001,0.018706
1,4,8,0.81,0.002674,0.000001,0.018918
1,4,9,0.87,0.003723,0.000001,0.029910
1,4,10,0.96,0.001452,0.000001,0.013209
1,4,11,0.88,0.001889,0.000001,0.019004
1,4,12,0.93,0.001695,0.000000,0.018790
1,4,13,1.32,0.001283,0.000001,0.015556
1,4,14,0.95,0.001853,0.000000,0.024226
1,4,15,1.04,0.004051,0.000001,0.056868
1,4,16,0.97,0.001267,0.000000,0.019443
1,4,17,1.10,0.001029,0.000000,0.016602
1,4,18,1.21,0.002038,0.000001,0.034797
1,4,19,1.14,0.000968,0.000000,0.017569
1,4,20,1.09,0.001091,0.000001,0.020910
1,4,21,1.17,0.000885,0.000000,0.017870
1,4,22,1.34,0.000837,0.000000,0.017758
1,4,23,1.14,0.000769,0.000000,0.017074
1,4,24,1.23,0.000838,0.000000,0.019422
1,4,25,1.17,0.000769,0.000000,0.018611
1,4,26,1.27,0.000754,0.000000,0.019020
1,4,27,1.19,0.000704,0.000000,0.018539
1,4,28,1.20,0.000729,0.000000,0.019834
1,4,29,1.23,0.000655,0.000000,0.018584
1,4,30,1.32,0.000503,0.000000,0.014832
1,4,31,1.27,0.000596,0.000000,0.018133
1,4,32,1.04,0.000646,0.000000,0.020374
1,4,33,1.16,0.001032,0.000000,0.033282
1,4,34,1.24,0.000599,0.000000,0.019993
1,4,35,1.21,0.000896,0.000000,0.030735
1,4,36,1.19,0.000609,0.000000,0.021555
1,4,37,1.27,0.000560,0.000000,0.020813
1,4,38,1.25,0.001540,0.000000,0.057266
1,4,39,1.27,0.000689,0.000000,0.026560
1,4,40,2.26,0.000480,0.000000,0.018894
1,4,41,1.33,0.000355,0.000000,0.014541
1,4,42,1.27,0.000450,0.000000,0.018804
1,4,43,1.30,0.000430,0.000000,0.018375
1,4,44,1.30,0.000388,0.000000,0.019094
1,4,45,1.30,0.000413,0.000000,0.018512
1,4,46,1.31,0.000434,0.000000,0.019868
1,4,47,1.34,0.000471,0.000000,0.021974
1,4,48,1.56,0.000426,0.000000,0.020352
