N,Nodes,Cores,Total_Time_srun,IO_Time,Comm_Time,CPU_Time
400009,4,1,1.55,0.040721,0.000010,0.022969
400009,4,2,0.56,0.031208,0.000043,0.000710
400009,4,3,0.60,0.031370,0.000143,0.000864
400009,4,4,0.64,0.032782,0.017902,0.000945
400009,4,5,0.90,0.074939,0.005741,0.000820
400009,4,6,0.87,0.066579,0.002019,0.000969
400009,4,7,3.68,0.065690,0.000726,0.000873
400009,4,8,2.00,0.073858,0.018644,0.000832
400009,4,9,1.30,0.174006,0.001331,0.001561
400009,4,10,1.00,0.112478,0.000865,0.001278
400009,4,11,1.14,0.135254,0.001237,0.001185
400009,4,12,1.19,0.266040,0.001680,0.002744
400009,4,13,1.17,0.144658,0.000998,0.001016
400009,4,14,1.28,0.262380,0.001572,0.001420
400009,4,15,1.47,0.421010,0.002563,0.001594
400009,4,16,1.14,0.203571,0.028933,0.002187
400009,4,17,1.43,0.176942,0.000903,0.001111
400009,4,18,1.20,0.162839,0.000846,0.001347
400009,4,19,1.28,0.204523,0.001368,0.001147
400009,4,20,1.24,0.190351,0.001126,0.001348
400009,4,21,2.32,0.219037,0.001339,0.001211
400009,4,22,1.40,0.173177,0.001523,0.000993
400009,4,23,1.37,0.175449,0.001023,0.001310
400009,4,24,1.35,0.188130,0.001820,0.001182
400009,4,25,1.36,0.187782,0.000980,0.001211
400009,4,26,1.39,0.187076,0.001188,0.001182
400009,4,27,1.45,0.219855,0.001253,0.001363
400009,4,28,1.61,0.347934,0.002777,0.002959
400009,4,29,1.61,0.361406,0.001847,0.002194
400009,4,30,1.42,0.204843,0.001356,0.001247
400009,4,31,1.43,0.206002,0.001101,0.001542
400009,4,32,1.20,0.209154,0.025803,0.001197
400009,4,33,1.52,0.198800,0.001364,0.001489
400009,4,34,1.30,0.212305,0.001275,0.006189
400009,4,35,1.74,0.197042,0.001069,0.001417
400009,4,36,1.58,0.198552,0.001135,0.001542
400009,4,37,2.69,0.221820,0.001051,0.001457
400009,4,38,1.39,0.190535,0.000908,0.001173
400009,4,39,1.39,0.215092,0.001118,0.001228
400009,4,40,1.31,0.185606,0.000788,0.001212
400009,4,41,1.40,0.191822,0.001156,0.001336
400009,4,42,4.56,0.189566,0.001047,0.001339
400009,4,43,1.48,0.188511,0.000710,0.001257
400009,4,44,1.91,0.320639,0.001474,0.003582
400009,4,45,1.45,0.175552,0.001321,0.001388
400009,4,46,1.64,0.177895,0.000741,0.001378
400009,4,47,1.98,0.196199,0.001238,0.001687
400009,4,48,1.65,0.221329,0.001127,0.001272
