N,Nodes,Cores,Total_Time_srun,IO_Time,Comm_Time,CPU_Time
400000,4,1,0.67,0.028813,0.000010,0.018501
400000,4,2,0.56,0.031550,0.001037,0.008150
400000,4,3,0.61,0.033781,0.002643,0.006434
400000,4,4,0.84,0.032294,0.019084,0.007343
400000,4,5,0.78,0.044042,0.002365,0.004402
400000,4,6,0.81,0.058153,0.002293,0.003688
400000,4,7,0.99,0.074115,0.001755,0.003520
400000,4,8,0.87,0.093136,0.011833,0.003261
400000,4,9,0.98,0.112650,0.002771,0.003044
400000,4,10,1.24,0.117781,0.002276,0.002750
400000,4,11,1.03,0.129783,0.002873,0.002708
400000,4,12,1.03,0.152109,0.002391,0.002791
400000,4,13,1.12,0.158535,0.005345,0.002427
400000,4,14,1.22,0.187830,0.002338,0.002652
400000,4,15,1.19,0.157145,0.002216,0.002401
400000,4,16,1.12,0.183323,0.018397,0.002682
400000,4,17,1.23,0.230512,0.004614,0.002537
400000,4,18,1.13,0.184886,0.002400,0.002105
400000,4,19,1.23,0.193101,0.002472,0.002358
400000,4,20,1.32,0.197527,0.004986,0.002241
400000,4,21,1.29,0.198269,0.002403,0.002188
400000,4,22,1.28,0.192202,0.002820,0.002214
400000,4,23,1.59,0.409889,0.042682,0.002354
400000,4,24,1.41,0.338698,0.003496,0.002909
400000,4,25,1.43,0.205039,0.002675,0.002319
400000,4,26,1.54,0.203192,0.002415,0.002045
400000,4,27,1.47,0.204347,0.002600,0.002266
400000,4,28,1.75,0.330200,0.004297,0.003060
400000,4,29,1.49,0.191658,0.002529,0.002374
400000,4,30,1.47,0.205855,0.003779,0.002472
400000,4,31,1.48,0.192480,0.002376,0.002230
400000,4,32,1.21,0.220346,0.028358,0.002892
400000,4,33,1.29,0.229043,0.002536,0.002233
400000,4,34,1.32,0.207700,0.002868,0.002260
400000,4,35,1.61,0.218820,0.002659,0.002177
400000,4,36,1.40,0.186141,0.002686,0.001965
400000,4,37,1.40,0.212467,0.002585,0.002092
400000,4,38,1.36,0.218060,0.003632,0.002137
400000,4,39,1.42,0.215561,0.002496,0.002335
400000,4,40,1.39,0.200268,0.002469,0.001996
400000,4,41,1.40,0.213162,0.002407,0.002608
400000,4,42,1.39,0.201923,0.002447,0.002208
400000,4,43,1.47,0.212690,0.003397,0.002248
400000,4,44,1.49,0.217582,0.003400,0.004230
400000,4,45,1.71,0.218283,0.002960,0.002237
400000,4,46,1.45,0.179259,0.002403,0.001975
400000,4,47,1.55,0.307190,0.003569,0.002563
400000,4,48,1.45,0.197007,0.002945,0.002323
