N,Nodes,Cores,Total_Time_srun,IO_Time,Comm_Time,CPU_Time
21,4,1,0.54,0.020590,0.000016,0.025894
21,4,2,0.60,0.029536,0.000095,0.000182
21,4,3,0.60,0.030534,0.000147,0.000444
21,4,4,0.63,0.028590,0.020714,0.000503
21,4,5,0.93,0.033222,0.000386,0.000333
21,4,6,0.79,0.050713,0.000651,0.000595
21,4,7,0.83,0.052213,0.000561,0.000433
21,4,8,0.86,0.069600,0.018258,0.000832
21,4,9,0.93,0.090190,0.000804,0.000604
21,4,10,1.15,0.106293,0.001298,0.001048
21,4,11,1.03,0.122764,0.000846,0.000773
21,4,12,1.08,0.137911,0.001022,0.000934
21,4,13,1.17,0.164030,0.001210,0.000803
21,4,14,1.09,0.148449,0.001067,0.000693
21,4,15,1.17,0.148167,0.000772,0.000743
21,4,16,1.03,0.177124,0.018454,0.001179
21,4,17,1.23,0.192371,0.000971,0.000748
21,4,18,1.10,0.166200,0.000687,0.000800
21,4,19,1.19,0.182000,0.001270,0.000784
21,4,20,1.21,0.216408,0.001558,0.000931
21,4,21,1.25,0.198421,0.000801,0.001023
21,4,22,1.42,0.184582,0.000850,0.009814
21,4,23,2.17,0.865299,0.054885,0.088695
21,4,24,1.45,0.250912,0.001090,0.044522
21,4,25,1.36,0.194061,0.000633,0.038087
21,4,26,1.40,0.189491,0.000888,0.046203
21,4,27,1.45,0.184851,0.000668,0.054132
21,4,28,1.48,0.186132,0.000512,0.063203
21,4,29,1.51,0.183050,0.000523,0.070939
21,4,30,1.51,0.192984,0.000536,0.084045
21,4,31,1.48,0.165578,0.000482,0.079929
21,4,32,1.37,0.170770,0.000496,0.091053
21,4,33,1.31,0.142313,0.000463,0.082439
21,4,34,1.37,0.160144,0.000622,0.100572
21,4,35,1.35,0.149087,0.000512,0.100712
21,4,36,1.41,0.144638,0.000453,0.104544
21,4,37,1.45,0.130482,0.000426,0.101122
21,4,38,1.43,0.142793,0.000459,0.117173
21,4,39,1.48,0.131209,0.000329,0.113753
21,4,40,1.50,0.133396,0.000404,0.122125
21,4,41,2.54,0.122517,0.000342,0.117950
21,4,42,1.51,0.128538,0.000383,0.130152
21,4,43,1.42,0.109373,0.000361,0.115983
21,4,44,1.55,0.129341,0.000379,0.145435
21,4,45,1.58,0.085542,0.000289,0.098982
21,4,46,1.56,0.120224,0.000352,0.144702
21,4,47,1.62,0.102737,0.000307,0.128624
21,4,48,1.55,0.114211,0.000537,0.148822
