N,Nodes,Cores,Total_Time_srun,IO_Time,Comm_Time,CPU_Time
12345,4,1,0.54,0.023005,0.000008,0.022132
12345,4,2,0.78,0.029312,0.002749,0.000445
12345,4,3,0.60,0.030176,0.002725,0.000590
12345,4,4,0.58,0.030649,0.003118,0.000552
12345,4,5,0.82,0.068100,0.000685,0.001123
12345,4,6,0.90,0.047517,0.000608,0.000608
12345,4,7,0.86,0.069994,0.000770,0.000675
12345,4,8,1.05,0.087546,0.018084,0.000847
12345,4,9,0.93,0.091190,0.003260,0.000865
12345,4,10,1.10,0.202515,0.003865,0.000896
12345,4,11,1.12,0.141820,0.001308,0.000819
12345,4,12,1.09,0.152931,0.000866,0.000840
12345,4,13,1.24,0.161125,0.004054,0.001107
12345,4,14,1.19,0.173873,0.001050,0.007330
12345,4,15,1.20,0.177452,0.001078,0.001148
12345,4,16,1.14,0.191492,0.021532,0.001062
12345,4,17,1.28,0.202591,0.001246,0.001023
12345,4,18,2.21,0.198285,0.001456,0.000979
12345,4,19,1.26,0.176184,0.001190,0.000742
12345,4,20,1.22,0.188233,0.003234,0.001341
12345,4,21,1.36,0.175009,0.001014,0.001031
12345,4,22,1.51,0.308273,0.001702,0.001237
12345,4,23,1.34,0.246581,0.001459,0.001062
12345,4,24,1.33,0.194692,0.003633,0.000983
12345,4,25,1.38,0.181693,0.001189,0.001127
12345,4,26,1.54,0.212409,0.001067,0.001363
12345,4,27,1.38,0.191768,0.001368,0.001514
12345,4,28,1.41,0.215615,0.001124,0.001136
12345,4,29,1.37,0.190413,0.001249,0.001278
12345,4,30,1.52,0.212485,0.001105,0.001149
12345,4,31,1.60,0.206585,0.001053,0.001222
12345,4,32,1.21,0.207378,0.025942,0.001574
12345,4,33,1.26,0.199857,0.001293,0.001226
12345,4,34,1.43,0.211684,0.001585,0.001310
12345,4,35,1.36,0.181575,0.001056,0.001129
12345,4,36,1.35,0.202701,0.001292,0.001305
12345,4,37,1.39,0.221646,0.001461,0.001124
12345,4,38,1.40,0.217825,0.001560,0.001045
12345,4,39,2.39,0.215472,0.001572,0.001446
12345,4,40,1.35,0.212678,0.001517,0.001547
12345,4,41,1.49,0.209553,0.001888,0.001188
12345,4,42,1.42,0.206060,0.001366,0.001286
12345,4,43,1.41,0.217617,0.001672,0.001346
12345,4,44,1.40,0.200450,0.001888,0.003642
12345,4,45,1.44,0.200388,0.001521,0.001257
12345,4,46,1.46,0.192216,0.001691,0.001144
12345,4,47,1.48,0.217460,0.001630,0.001496
12345,4,48,1.44,0.191929,0.001401,0.001405
