N,Nodes,Cores,Total_Time_srun,IO_Time,Comm_Time,CPU_Time
536869888,4,1,23.69,3.383895,0.000036,19.795449
536869888,4,2,15.63,2.545811,0.802155,11.499079
536869888,4,3,13.16,1.666652,2.051674,8.649994
536869888,4,4,11.81,1.514248,1.462016,7.062199
536869888,4,5,11.10,2.365262,1.771897,6.180616
536869888,4,6,9.53,1.940667,1.382255,5.456628
536869888,4,7,9.28,2.027068,1.552690,4.936544
536869888,4,8,9.52,2.369430,1.622023,4.736757
536869888,4,9,9.75,2.216975,1.933936,4.668207
536869888,4,10,9.56,2.449019,1.764642,4.440276
536869888,4,11,9.79,2.414601,2.159909,4.276760
536869888,4,12,10.08,2.536974,2.298375,4.133215
536869888,4,13,10.83,3.204033,2.538938,4.077476
536869888,4,14,11.08,3.981302,2.265106,3.863699
536869888,4,15,9.70,2.300964,2.592710,3.790622
536869888,4,16,9.90,2.856781,2.517691,3.631488
536869888,4,17,9.05,2.049717,2.652498,3.412763
536869888,4,18,8.86,2.176362,2.442906,3.245039
536869888,4,19,9.06,2.190073,2.659315,3.169402
536869888,4,20,8.76,1.931108,2.531536,3.019577
536869888,4,21,8.61,2.003806,2.593626,2.948150
536869888,4,22,9.26,1.928102,2.417514,2.835580
536869888,4,23,8.58,1.948200,2.539247,2.810723
536869888,4,24,8.59,2.307557,2.350430,2.745634
536869888,4,25,8.24,1.754294,2.561879,2.756616
536869888,4,26,8.33,2.086062,2.350487,2.707832
536869888,4,27,8.27,1.942289,2.441427,2.676410
536869888,4,28,7.89,1.761949,2.368831,2.588450
536869888,4,29,8.37,1.855347,2.458220,2.556008
536869888,4,30,8.12,2.064140,2.371624,2.470482
536869888,4,31,8.06,1.808397,2.524853,2.454743
536869888,4,32,7.89,1.831756,2.483647,2.507584
536869888,4,33,8.87,1.786731,2.573978,2.461734
536869888,4,34,7.73,1.756526,2.439888,2.429827
536869888,4,35,8.84,1.690206,2.592342,2.422484
536869888,4,36,7.69,1.614026,2.478913,2.436223
536869888,4,37,7.92,1.808578,2.421467,2.491131
536869888,4,38,7.80,1.860307,2.330617,2.354875
536869888,4,39,8.82,1.758578,2.451969,2.402521
536869888,4,40,7.61,1.667700,2.440369,2.382287
536869888,4,41,8.03,1.675183,2.541917,2.325854
536869888,4,42,7.77,1.939704,2.405014,2.277547
536869888,4,43,7.83,1.713580,2.497452,2.318120
536869888,4,44,7.49,1.638435,2.410963,2.213132
536869888,4,45,7.60,1.563772,2.513569,2.259402
536869888,4,46,8.13,2.088088,2.431328,2.204920
536869888,4,47,7.66,1.688607,2.453593,2.251227
536869888,4,48,7.68,1.664198,2.456188,2.240538
