N,Nodes,Cores,Total_Time_srun,IO_Time,Comm_Time,CPU_Time
64123483,4,1,3.84,0.426613,0.000035,2.886814
64123483,4,2,3.20,0.255023,0.089876,2.063967
64123483,4,3,2.55,0.231980,0.266347,1.467688
64123483,4,4,2.05,0.213751,0.125325,1.135441
64123483,4,5,2.25,0.255517,0.204986,0.946369
64123483,4,6,2.05,0.329127,0.161109,0.807839
64123483,4,7,2.65,0.360794,0.201719,0.711782
64123483,4,8,2.05,0.392879,0.215459,0.641326
64123483,4,9,2.16,0.344292,0.250010,0.587558
64123483,4,10,2.07,0.424465,0.196275,0.532961
64123483,4,11,2.34,0.542486,0.255139,0.508100
64123483,4,12,2.14,0.443075,0.254670,0.481816
64123483,4,13,2.34,0.546105,0.295883,0.462921
64123483,4,14,3.33,1.570331,0.272973,0.450546
64123483,4,15,2.56,0.615438,0.315435,0.428762
64123483,4,16,2.20,0.604653,0.277951,0.408179
64123483,4,17,2.24,0.444139,0.308269,0.390670
64123483,4,18,3.21,0.569117,0.289665,0.361204
64123483,4,19,2.08,0.432203,0.298038,0.362121
64123483,4,20,2.12,0.454919,0.285842,0.350862
64123483,4,21,2.21,0.382217,0.312059,0.337184
64123483,4,22,2.11,0.349532,0.289665,0.324583
64123483,4,23,3.13,0.400978,0.304850,0.322489
64123483,4,24,2.26,0.505962,0.305424,0.318925
64123483,4,25,2.19,0.414015,0.312168,0.315325
64123483,4,26,2.14,0.437200,0.278313,0.312735
64123483,4,27,3.26,0.416303,0.304708,0.306006
64123483,4,28,2.22,0.408125,0.290615,0.300970
64123483,4,29,2.26,0.389693,0.311100,0.293765
64123483,4,30,2.46,0.584780,0.292647,0.290046
64123483,4,31,2.27,0.432274,0.304227,0.293582
64123483,4,32,3.07,1.436353,0.275626,0.274738
64123483,4,33,1.97,0.401144,0.303073,0.265787
64123483,4,34,2.10,0.408798,0.287289,0.267199
64123483,4,35,2.11,0.396325,0.307614,0.269490
64123483,4,36,2.34,0.527366,0.306671,0.268051
64123483,4,37,2.19,0.414878,0.303333,0.273897
64123483,4,38,3.15,0.409672,0.284885,0.271969
64123483,4,39,2.16,0.420765,0.298248,0.269092
64123483,4,40,2.10,0.379455,0.290702,0.249275
64123483,4,41,2.12,0.381556,0.304066,0.256085
64123483,4,42,2.27,0.445648,0.308087,0.249020
64123483,4,43,2.17,0.417006,0.307336,0.252614
64123483,4,44,2.25,0.376294,0.295061,0.249538
64123483,4,45,2.22,0.405420,0.319194,0.240249
64123483,4,46,2.22,0.389338,0.295793,0.243629
64123483,4,47,2.20,0.383261,0.314101,0.241760
64123483,4,48,2.17,0.379402,0.299378,0.242023
