N,Nodes,Cores,Total_Time_srun,IO_Time,Comm_Time,CPU_Time
20,4,1,0.57,0.057266,0.000014,0.023956
20,4,2,0.58,0.049637,0.000085,0.000142
20,4,3,0.60,0.028215,0.000166,0.000327
20,4,4,0.62,0.031555,0.018092,0.000497
20,4,5,0.85,0.055582,0.000414,0.000573
20,4,6,1.10,0.065237,0.001037,0.000747
20,4,7,0.87,0.068914,0.000885,0.000668
20,4,8,1.96,0.087053,0.018311,0.000824
20,4,9,1.17,0.102026,0.000605,0.000833
20,4,10,1.02,0.108987,0.001143,0.000743
20,4,11,1.07,0.130319,0.000803,0.000594
20,4,12,1.07,0.132403,0.000915,0.000737
20,4,13,1.19,0.158608,0.000887,0.000853
20,4,14,1.20,0.177328,0.001160,0.000760
20,4,15,1.25,0.194543,0.000806,0.001134
20,4,16,1.11,0.196668,0.018980,0.000684
20,4,17,1.19,0.201022,0.001114,0.000911
20,4,18,1.10,0.153915,0.001021,0.000809
20,4,19,1.16,0.182865,0.000913,0.000916
20,4,20,1.23,0.196192,0.001149,0.000838
20,4,21,1.26,0.229795,0.000944,0.012434
20,4,22,1.26,0.160521,0.000717,0.016878
20,4,23,1.54,0.293680,0.001163,0.045486
20,4,24,1.39,0.166995,0.000720,0.034474
20,4,25,1.50,0.216809,0.000650,0.055569
20,4,26,1.44,0.174621,0.000785,0.053555
20,4,27,1.45,0.146451,0.000628,0.052487
20,4,28,2.59,0.161675,0.000989,0.065898
20,4,29,1.47,0.165595,0.000569,0.076144
20,4,30,1.43,0.144399,0.000502,0.073504
20,4,31,1.47,0.145962,0.000504,0.081750
20,4,32,2.20,0.135416,0.000444,0.082601
20,4,33,1.34,0.136574,0.000524,0.090226
20,4,34,1.35,0.128007,0.000374,0.090955
20,4,35,1.45,0.147532,0.000443,0.112384
20,4,36,1.37,0.117192,0.000350,0.094968
20,4,37,1.80,0.135017,0.000350,0.116203
20,4,38,1.42,0.109386,0.000327,0.099739
20,4,39,1.44,0.116067,0.000415,0.111983
20,4,40,1.44,0.110713,0.000459,0.112114
20,4,41,1.53,0.115995,0.000360,0.123303
20,4,42,1.47,0.108574,0.000379,0.121151
20,4,43,1.44,0.112344,0.000351,0.130741
20,4,44,1.53,0.099906,0.000331,0.123690
20,4,45,1.52,0.100997,0.000407,0.127934
20,4,46,1.51,0.100395,0.000304,0.131967
20,4,47,1.53,0.093883,0.000256,0.128290
20,4,48,1.52,0.100527,0.000370,0.142604
