PairID,GPU1_Case,GPU1_V,GPU1_Time,GPU2_Case,GPU2_V,GPU2_Time,WorkloadRatio,ActualTimeRatio,Efficiency
Pair_p14k1,p11k1,11000,2005.611,p14k1,13851,3997.227,1.9965,1.9930,0.5018
Pair_p15k1,p12k1,11817,2726.533,p15k1,15000,4772.963,2.0453,1.7506,0.5712
Pair_p19k1,p15k1,15000,4939.712,p19k1,18947,8136.829,2.0153,1.6472,0.6071
Pair_p30k1,p24k1,24000,17230.092,p30k1,30000,29141.209,1.9531,1.6913,0.5913
Pair_p43k1,p34k1,34000,46311.995,p43k1,42793,88923.710,1.9938,1.9201,0.5208
Pair_p44k1,p35k1,34921,47882.914,p44k1,43769,89713.057,1.9690,1.8736,0.5337
Pair_p45k1,p36k1,35981,53030.944,p45k1,44939,96776.953,1.9483,1.8249,0.5480
